vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.0200491,0.00843772,0.00777769,-0.0200491,0.00843772,0.00777769
1,0,0,0,-0.0132322,0.021223,0.00408855,-0.0132322,0.021223,0.00408855
2,0,0,0,-0.0177491,-0.00282257,0.00554474,-0.0177491,-0.00282257,0.00554474
3,0,0,0,-0.00879883,0.00617951,0.00767846,-0.00879883,0.00617951,0.00767846
4,0,0,0,-0.0166293,0.00308894,0.0291382,-0.0166293,0.00308894,0.0291382
5,0,0,0,-0.00462627,0.00935486,0.00605403,-0.00462627,0.00935486,0.00605403
6,0,0,0,-0.00845687,0.000166806,0.000104965,-0.00845687,0.000166806,0.000104965
7,0,0,0,-0.00916543,0.00579247,7.04395e-05,-0.00916543,0.00579247,7.04395e-05
8,0,0,0,-0.00157322,0.0320529,0.00953507,-0.00157322,0.0320529,0.00953507
9,0,0,0,-0.0193878,0.0588266,-0.000556831,-0.0193878,0.0588266,-0.000556831
10,0,0,0,-0.0394167,-0.0133791,0.0198859,-0.0394167,-0.0133791,0.0198859
11,0,0,0,-0.00712937,0.0210216,0.0306685,-0.00712937,0.0210216,0.0306685
12,0,0,0,-0.00656444,0.0113013,0.0205865,-0.00656444,0.0113013,0.0205865
13,0,0,0,-0.0281137,-0.00967066,0.00531363,-0.0281137,-0.00967066,0.00531363
14,0,0,0,-0.0112708,0.000701831,0.00687372,-0.0112708,0.000701831,0.00687372
15,0,0,0,-0.00939757,0.00782982,-0.0036053,-0.00939757,0.00782982,-0.0036053
16,0,0,0,-0.03566,-0.00101835,0.00560868,-0.03566,-0.00101835,0.00560868
17,0,0,0,-0.00551313,0.0147762,0.010674,-0.00551313,0.0147762,0.010674
18,0,0,0,-0.0324613,0.0108091,-0.00211794,-0.0324613,0.0108091,-0.00211794
19,0,0,0,-0.000126877,0.0304077,0.0112176,-0.000126877,0.0304077,0.0112176
20,0,0,0,-0.0386239,0.00104165,0.00908211,-0.0386239,0.00104165,0.00908211
21,0,0,0,-0.014813,0.0507851,0.0798383,-0.014813,0.0507851,0.0798383
