sim_time,iter,tau_x_surface_com,tau_x_surface_center,tau_x_all_com,force_sum_x,force_sum_y,force_sum_z,ramp
0.5,240,0.64085,0.627879,0.64085,1.20683e-06,1.35505e-06,5.18345,1
1,480,0.508048,-1.23787,0.508048,-2.20132e-05,3.84272e-07,11.0979,1
1.5,720,0.650131,1.75659,0.650131,-6.42933e-06,-1.08819e-05,11.8594,1
