sim_time,iter,tau_x_surface_com,tau_x_surface_center,tau_x_all_com,force_sum_x,force_sum_y,force_sum_z,ramp
0.5,240,0.76297,0.671974,0.76297,1.25674e-05,-4.75781e-06,6.00906,1
1,480,0.171648,-0.634019,0.171648,-4.52886e-06,1.03598e-06,5.4161,1
1.5,720,1.02907,1.61189,1.02907,6.73224e-06,4.2473e-05,6.36731,1
