vtx,x,y,z
0,0.0116087,0.236678,0.458829
1,0.00893447,0.238073,0.453775
2,0.0112218,0.233414,0.463077
3,0.0056304,0.23166,0.465322
4,0.00410999,0.229073,0.467237
5,0.0011903,0.232449,0.458233
6,0.0214851,0.237603,0.452847
7,0.0196527,0.238834,0.451129
8,0.00101833,0.232407,0.455304
9,0.00940532,0.237167,0.447465
10,0.011526,0.225143,0.46448
11,-0.00398022,0.215781,0.463086
12,0.000106972,0.223334,0.466057
13,0.0191842,0.23052,0.457413
14,0.00118677,0.220782,0.467968
15,0.0269919,0.238774,0.440664
16,0.0272251,0.234643,0.44671
17,-0.00405747,0.219288,0.470316
18,0.0311577,0.236284,0.444725
19,-0.00215592,0.22659,0.452195
20,0.0237201,0.22914,0.455513
21,-0.00780302,0.219335,0.456931
22,-0.0047343,0.216567,0.471951
23,0.0183899,0.223358,0.464053
24,-0.0110301,0.217783,0.449817
25,0.00202096,0.226491,0.445535
26,0.020753,0.235128,0.437588
27,0.0142283,0.21354,0.475521
28,-0.00748419,0.212032,0.462856
29,0.0126392,0.216251,0.470601
30,0.0305492,0.22577,0.457023
31,0.0262795,0.217982,0.467409
32,0.0400988,0.230644,0.450093
33,0.0380103,0.227956,0.456169
34,0.00839948,0.231565,0.440471
35,0.0157653,0.231242,0.426844
36,0.0138293,0.235375,0.441346
37,0.00515921,0.213919,0.475428
38,0.00171021,0.221428,0.427224
39,0.0166757,0.208393,0.478161
40,0.0354352,0.219677,0.46606
41,0.0117504,0.230443,0.430397
42,0.000369574,0.208929,0.473974
43,0.0473747,0.223491,0.439147
44,0.0284177,0.215613,0.472229
45,-0.0102033,0.210396,0.458004
46,0.0260376,0.231142,0.430654
47,-0.014942,0.213143,0.45026
48,-0.0069249,0.210303,0.466964
49,0.0354449,0.230433,0.437706
50,0.0430473,0.219726,0.459036
51,-0.0113023,0.202597,0.460829
52,0.0250269,0.210934,0.475573
53,-0.0172421,0.212618,0.439851
54,-0.0226237,0.209913,0.435038
55,0.0379868,0.211802,0.468992
56,0.0071171,0.224402,0.424362
57,0.0450533,0.222585,0.453787
58,0.00621351,0.225711,0.412453
59,0.0241309,0.201857,0.476228
60,-0.00485585,0.212754,0.421458
61,-0.00580304,0.216866,0.432437
62,-0.0174556,0.20115,0.451011
63,0.00411052,0.22429,0.41301
64,0.0129507,0.202045,0.479193
65,-0.0116056,0.21421,0.441374
66,-0.00248704,0.195012,0.47065
67,-0.0241401,0.200838,0.44255
68,0.00258385,0.19198,0.474231
69,0.030507,0.198382,0.471795
70,-0.0154237,0.207938,0.432744
71,-0.0265737,0.204244,0.4366
72,0.0459906,0.223066,0.432982
73,0.00446517,0.215681,0.41625
74,0.0190904,0.197004,0.474948
75,0.0382829,0.225137,0.427512
