vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,0.00014103,-0.0107738,0.0348573,0.00014103,-0.0107738,0.0348573
1,0,0,0,0.000873255,0.0134473,0.0362101,0.000873255,0.0134473,0.0362101
2,0,0,0,-0.00302452,-0.0226049,0.0196221,-0.00302452,-0.0226049,0.0196221
3,0,0,0,0.0064048,-0.00316855,0.0159454,0.0064048,-0.00316855,0.0159454
4,0,0,0,0.0275025,-0.0211118,0.0286431,0.0275025,-0.0211118,0.0286431
5,0,0,0,0.00705226,0.00424022,0.0132719,0.00705226,0.00424022,0.0132719
6,0,0,0,-0.00461978,-0.0078436,0.0087815,-0.00461978,-0.0078436,0.0087815
7,0,0,0,-0.00435483,-0.00069529,0.0153189,-0.00435483,-0.00069529,0.0153189
8,0,0,0,0.0155258,0.0301138,0.0307802,0.0155258,0.0301138,0.0307802
9,0,0,0,-0.00575152,0.0568242,0.0765838,-0.00575152,0.0568242,0.0765838
10,0,0,0,0.00230774,-0.0616281,0.0434444,0.00230774,-0.0616281,0.0434444
11,0,0,0,0.0318811,0.00391083,0.0297303,0.0318811,0.00391083,0.0297303
12,0,0,0,0.0230096,-0.00115514,0.0209799,0.0230096,-0.00115514,0.0209799
13,0,0,0,-0.0127765,-0.0461364,0.0295863,-0.0127765,-0.0461364,0.0295863
14,0,0,0,0.00321964,-0.00960635,0.0119228,0.00321964,-0.00960635,0.0119228
15,0,0,0,-0.00842511,0.00321264,0.0137254,-0.00842511,0.00321264,0.0137254
16,0,0,0,-0.0141299,-0.0347755,0.0426699,-0.0141299,-0.0347755,0.0426699
17,0,0,0,0.0112265,0.00634548,0.0178746,0.0112265,0.00634548,0.0178746
18,0,0,0,-0.020331,-0.0125669,0.0447456,-0.020331,-0.0125669,0.0447456
19,0,0,0,0.0172683,0.0270881,0.0266983,0.0172683,0.0270881,0.0266983
20,0,0,0,-0.0130453,-0.0447914,0.0615647,-0.0130453,-0.0447914,0.0615647
21,0,0,0,0.0816303,0.00927577,0.073565,0.0816303,0.00927577,0.073565
22,0,0,0,0.0192261,0.00127602,0.011384,0.0192261,0.00127602,0.011384
23,0,0,0,-0.000389791,-0.0377667,0.0452723,-0.000389791,-0.0377667,0.0452723
24,0,0,0,0.0163188,0.0214535,0.0373022,0.0163188,0.0214535,0.0373022
25,0,0,0,0.0232661,0.0754994,0.0795733,0.0232661,0.0754994,0.0795733
26,0,0,0,-0.00724581,0.0147493,0.0221912,-0.00724581,0.0147493,0.0221912
27,0,0,0,0.00612324,-0.0284988,0.0435452,0.00612324,-0.0284988,0.0435452
28,0,0,0,0.0459565,0.0107805,0.0386132,0.0459565,0.0107805,0.0386132
29,0,0,0,0.00201396,-0.0312704,0.0565685,0.00201396,-0.0312704,0.0565685
30,0,0,0,0.00371588,-0.0474491,0.0967922,0.00371588,-0.0474491,0.0967922
31,0,0,0,0.00165245,-0.0231524,0.0577176,0.00165245,-0.0231524,0.0577176
32,0,0,0,-0.0423924,-0.0249419,0.0536659,-0.0423924,-0.0249419,0.0536659
33,0,0,0,-0.0088098,-0.0513231,0.0882947,-0.0088098,-0.0513231,0.0882947
34,0,0,0,0.00561661,0.023046,0.0242966,0.00561661,0.023046,0.0242966
35,0,0,0,-0.0093319,0.0133467,0.0238792,-0.0093319,0.0133467,0.0238792
36,0,0,0,-0.0111333,0.0331544,0.0455877,-0.0111333,0.0331544,0.0455877
37,0,0,0,0.00672587,-0.00982065,0.0108401,0.00672587,-0.00982065,0.0108401
38,0,0,0,0.0138477,0.0595529,0.0596173,0.0138477,0.0595529,0.0596173
39,0,0,0,0.0258605,-0.0679951,0.0382253,0.0258605,-0.0679951,0.0382253
40,0,0,0,-0.0129983,-0.0618989,0.06055,-0.0129983,-0.0618989,0.06055
41,0,0,0,0.0141812,0.0500244,0.0723045,0.0141812,0.0500244,0.0723045
42,0,0,0,0.0338198,-0.0177196,0.0104413,0.0338198,-0.0177196,0.0104413
43,0,0,0,-0.0891296,-0.0248947,0.0591889,-0.0891296,-0.0248947,0.0591889
44,0,0,0,-0.00071768,-0.031707,0.0364831,-0.00071768,-0.031707,0.0364831
45,0,0,0,0.0883488,0.00767952,0.0546703,0.0883488,0.00767952,0.0546703
46,0,0,0,-0.0541548,0.0323596,0.0557443,-0.0541548,0.0323596,0.0557443
47,0,0,0,0.0505037,0.00948618,0.0477798,0.0505037,0.00948618,0.0477798
48,0,0,0,0.0394823,0.000213217,0.014007,0.0394823,0.000213217,0.014007
49,0,0,0,-0.0569626,0.0163644,0.0437533,-0.0569626,0.0163644,0.0437533
50,0,0,0,-0.0265259,-0.0449179,0.0159351,-0.0265259,-0.0449179,0.0159351
51,0,0,0,0.0685311,0.00173987,0.0324527,0.0685311,0.00173987,0.0324527
52,0,0,0,0.00498065,-0.0344953,0.0198462,0.00498065,-0.0344953,0.0198462
