vtx,x,y,z
0,0.0602967,0.0836448,0.055454
1,0.0612505,0.0778512,0.0557392
2,0.0568178,0.0874582,0.0569352
3,0.0506727,0.0862666,0.0572952
4,0.0477243,0.0874725,0.0588752
5,0.0511338,0.0780097,0.0587009
6,0.0716264,0.0847202,0.0575748
7,0.0714221,0.0820182,0.0568956
8,0.0525539,0.0756798,0.0597594
9,0.0647639,0.0735476,0.0588467
10,0.0540371,0.090737,0.0641383
11,0.0398084,0.0826735,0.0719494
12,0.0435719,0.0855775,0.0642801
13,0.0654091,0.0885998,0.0623307
14,0.0427064,0.0882965,0.0660696
15,0.0828634,0.0784548,0.0613121
16,0.0786896,0.084228,0.0630068
17,0.0368478,0.0873342,0.0661872
18,0.0833447,0.0846602,0.0625408
19,0.0500761,0.0728227,0.065937
20,0.0696714,0.0901984,0.0646897
21,0.041025,0.0748309,0.0704531
22,0.0346828,0.0888361,0.06808
23,0.0592548,0.0949475,0.0665725
24,0.0418139,0.0678068,0.074068
25,0.0569537,0.0702402,0.0687301
26,0.0785393,0.0732768,0.065225
27,0.0470948,0.103602,0.0712936
28,0.0360888,0.0813002,0.0751744
29,0.0492007,0.0982312,0.0703546
30,0.0733835,0.0962328,0.0679129
31,0.0622735,0.103497,0.0711073
32,0.0860532,0.0954527,0.0666961
33,0.0803996,0.0995045,0.0668571
34,0.0661602,0.0689537,0.0664011
35,0.0792393,0.0630014,0.0721373
36,0.0710717,0.071948,0.0630567
37,0.0400048,0.0980353,0.0701672
38,0.0651016,0.0572035,0.0797691
39,0.0462095,0.108302,0.0753809
40,0.0707708,0.107518,0.0708342
41,0.0739194,0.0635156,0.0712606
42,0.035573,0.0952511,0.0748889
43,0.0957168,0.0931211,0.077907
44,0.0607511,0.109033,0.0718059
45,0.0360481,0.0763365,0.0781259
46,0.0853643,0.0720815,0.0718289
47,0.0371566,0.0669116,0.0778404
48,0.0338652,0.0851989,0.0754091
49,0.0888953,0.0832509,0.070857
50,0.0805994,0.106646,0.0739639
51,0.0314925,0.0796864,0.0842598
52,0.0549606,0.110681,0.0746809
53,0.040716,0.0576558,0.0817582
54,0.0382077,0.051374,0.0854878
55,0.06905,0.113148,0.0773719
56,0.0717761,0.0575385,0.0785414
57,0.0857911,0.103137,0.0733407
58,0.077784,0.04755,0.0814173
59,0.0513689,0.112785,0.0828337
60,0.0605239,0.0508699,0.0891644
61,0.055033,0.0577799,0.0814535
62,0.0314018,0.0687933,0.0884416
63,0.0754138,0.0470525,0.0823554
64,0.040923,0.108369,0.0806004
65,0.0448642,0.0618094,0.0802695
66,0.0311984,0.0942696,0.0886984
67,0.03048,0.0583763,0.0910891
68,0.0324999,0.100744,0.0907469
69,0.0578476,0.11399,0.0882274
70,0.0446677,0.0543572,0.088719
71,0.032639,0.0515619,0.0898528
72,0.0977969,0.0876916,0.0803594
73,0.071574,0.0517487,0.089202
74,0.0466832,0.109931,0.0873504
75,0.0951618,0.0784137,0.0796363
76,0.0531122,0.113856,0.0908027
77,0.0831702,0.107449,0.0831688
78,0.0510594,0.0549089,0.0878929
79,0.0301331,0.087094,0.0893702
80,0.028913,0.0764151,0.0940391
81,0.0351213,0.106107,0.0938851
82,0.0901545,0.0994068,0.0736069
83,0.0937657,0.069613,0.0819016
84,0.0226936,0.0916294,0.0932192
85,0.0413297,0.110061,0.0911729
86,0.0194869,0.0814884,0.0978955
87,0.0786048,0.109912,0.0858592
88,0.0176182,0.0907267,0.0974223
89,0.0994381,0.0957781,0.0841222
90,0.107112,0.0709552,0.0835654
91,0.0693526,0.112323,0.0883933
92,0.0835242,0.047072,0.0843683
93,0.0120659,0.0843028,0.106097
94,0.0377222,0.107234,0.0843201
95,0.0870314,0.102879,0.0830241
96,0.0755689,0.0445932,0.0875635
97,0.110148,0.0775007,0.0834317
98,0.0421338,0.0504676,0.0969229
99,0.0252231,0.105112,0.0960241
100,0.0787135,0.0427767,0.0868548
101,0.036679,0.0485043,0.0950501
102,0.0704893,0.0502698,0.0939288
103,0.0217019,0.100031,0.0951305
104,0.115857,0.0885812,0.0873202
105,0.0955123,0.0602512,0.0885058
106,0.0192026,0.100439,0.0975877
107,0.0475049,0.0495878,0.0984723
108,0.0946974,0.099697,0.083197
109,0.0814478,0.0414555,0.101916
110,0.0639443,0.0447779,0.0976067
111,0.0282699,0.0702244,0.0988862
112,0.105229,0.0648249,0.0858642
113,0.0402265,0.110901,0.0984749
114,0.0917827,0.105294,0.0923123
115,0.0368782,0.0499926,0.103226
116,0.0756916,0.0484603,0.0964012
117,0.0286299,0.116573,0.103482
118,0.0996835,0.09979,0.0872474
119,0.0517681,0.0451149,0.101128
120,0.114941,0.0968204,0.0915444
121,0.0278163,0.0593306,0.101611
122,0.0261196,0.065934,0.105881
123,0.0126096,0.0754095,0.109621
124,0.0878345,0.107271,0.0919019
125,0.122272,0.0765019,0.0917299
126,0.0423362,0.0527886,0.104559
127,0.0894277,0.0596672,0.0838606
128,0.0326611,0.0508241,0.0992466
129,0.115764,0.0727239,0.0889227
130,0.0111654,0.0962671,0.106895
131,0.0141369,0.10211,0.107112
132,0.0638093,0.119188,0.102843
133,0.0810342,0.116054,0.100782
134,0.0843461,0.0425706,0.0970097
135,0.125355,0.0639809,0.0991393
136,0.0215592,0.113832,0.101859
137,0.0597783,0.0440495,0.104295
138,0.0895669,0.0473485,0.0945707
139,0.10795,0.0541305,0.0966655
140,0.074966,0.0457767,0.10194
141,0.0441709,0.0504936,0.108124
142,0.0182777,0.110372,0.105418
143,0.0340071,0.0482151,0.108196
144,0.0669612,0.0410951,0.105236
145,0.0484078,0.0424998,0.11134
146,0.0976116,0.0506156,0.0995326
147,0.0248061,0.119697,0.111851
148,0.038828,0.0469392,0.115393
149,0.10339,0.0504558,0.101009
150,0.00900412,0.105392,0.115503
151,0.0175336,0.11488,0.11655
152,0.0909477,0.1093,0.10407
153,0.110634,0.105666,0.0983855
154,0.114451,0.0601766,0.0958185
155,0.00564823,0.0907007,0.116625
156,0.0754185,0.120213,0.112124
157,0.0286069,0.120322,0.110465
158,0.0267857,0.06112,0.111993
159,0.0786693,0.0435707,0.105286
160,0.0159253,0.107251,0.113795
161,0.0414734,0.120513,0.11858
162,0.0426485,0.118164,0.111025
163,0.0954955,0.0460894,0.105692
164,0.00627629,0.0915547,0.111807
165,0.0212736,0.120337,0.124392
166,0.0486429,0.11452,0.1049
167,0.03077,0.0444896,0.117086
168,0.0880624,0.112845,0.108569
169,0.0799014,0.0391089,0.115141
170,0.0739663,0.0365424,0.115214
171,0.124015,0.0943656,0.0994828
172,0.0853638,0.037208,0.109028
173,0.0560521,0.0423408,0.123024
174,0.0289722,0.0523228,0.110615
175,0.126065,0.0608001,0.103387
176,0.127062,0.0751465,0.0983747
177,0.128584,0.0869221,0.104503
178,0.0555945,0.11887,0.111722
179,0.101206,0.111191,0.105875
180,0.0816263,0.117566,0.112004
181,0.0222684,0.0582327,0.121347
182,0.102585,0.0476624,0.107741
183,0.0939893,0.0368894,0.117451
184,0.118797,0.103245,0.101621
185,0.0574436,0.120145,0.118529
186,0.0481817,0.121445,0.113592
187,0.0694172,0.0379994,0.111741
188,0.0375742,0.0447996,0.123614
189,0.0268128,0.0457262,0.122835
190,0.120079,0.0582697,0.106804
191,0.0672352,0.0410793,0.115906
192,0.0979688,0.0472646,0.114686
193,0.128952,0.0930045,0.10689
194,0.0423381,0.039763,0.122795
195,0.093806,0.0417736,0.111376
196,0.0199853,0.0621082,0.119327
197,0.115825,0.0528073,0.105617
198,0.0899549,0.0339051,0.121487
199,0.113631,0.0456219,0.115282
200,0.133909,0.0660236,0.111769
201,0.124952,0.100161,0.111318
202,0.0278816,0.043841,0.124639
203,0.00821273,0.106706,0.120992
204,0.0865785,0.0329908,0.12813
205,0.0885271,0.113931,0.114616
206,0.0121537,0.110642,0.126506
207,0.00835257,0.0702665,0.130102
208,0.00630824,0.076381,0.124987
209,0.117811,0.105635,0.107135
210,0.0341217,0.0408873,0.132817
211,0.120415,0.0480795,0.118495
212,0.098963,0.111709,0.117824
213,0.0314147,0.0437197,0.131001
214,0.13186,0.0797931,0.112917
215,0.0797652,0.0275804,0.131523
216,0.126399,0.0589345,0.113167
217,0.00751972,0.104907,0.129073
218,0.107551,0.111229,0.116782
219,0.103816,0.0453555,0.120706
220,0.014127,0.113816,0.127494
221,0.131874,0.0895369,0.114782
222,0.0321267,0.121606,0.124513
223,0.0489688,0.0395146,0.125258
224,0.119768,0.04746,0.125894
225,0.0365696,0.0345858,0.135819
226,0.0984431,0.0393177,0.118827
227,0.0465979,0.121283,0.120728
228,0.0272627,0.0461516,0.130565
229,0.0156696,0.0628006,0.132971
230,0.00770325,0.0699443,0.137795
231,0.00709591,0.100476,0.136034
232,0.0623691,0.0409074,0.121734
233,0.0118875,0.108674,0.13634
234,0.0230816,0.0543862,0.127536
235,0.132272,0.0651346,0.118275
236,0.0765887,0.0291346,0.129446
237,0.00388522,0.0793605,0.136552
238,0.00360306,0.0843183,0.138107
239,0.0218131,0.119997,0.130619
240,0.0712949,0.0350286,0.130248
241,0.120946,0.103072,0.121627
242,0.103489,0.108869,0.129056
243,0.128955,0.0550258,0.126435
244,0.124371,0.0502509,0.121197
245,0.132604,0.0839914,0.122481
246,0.00550481,0.0764221,0.144264
247,0.126249,0.0969627,0.123159
248,0.0677391,0.0372556,0.133153
249,0.0407708,0.120037,0.134305
250,0.00461404,0.0861344,0.143966
251,0.0952613,0.0352416,0.131396
252,0.124641,0.0496485,0.126638
253,0.0189446,0.11523,0.139411
254,0.0926667,0.0336953,0.135443
255,0.0803775,0.119747,0.1273
256,0.0898858,0.113736,0.126907
257,0.0748596,0.12336,0.134727
258,0.056869,0.0419828,0.127973
259,0.016802,0.109951,0.144271
260,0.0297749,0.0437097,0.144388
261,0.132179,0.0639163,0.126098
262,0.0842248,0.120392,0.133752
263,0.104417,0.0452263,0.126282
264,0.0106735,0.099649,0.146727
265,0.054762,0.0377568,0.142571
266,0.0742525,0.122,0.128386
267,0.0450777,0.0328811,0.138649
268,0.0781606,0.0280121,0.136003
269,0.0635208,0.0382799,0.141813
270,0.0256017,0.0516056,0.141675
271,0.0172734,0.0615312,0.146908
272,0.0596259,0.119859,0.132131
273,0.129014,0.0896382,0.127941
274,0.0536113,0.118102,0.133272
275,0.101247,0.040652,0.133868
276,0.033117,0.114894,0.14861
277,0.0432191,0.0330759,0.145905
278,0.0749504,0.0351559,0.136623
279,0.0139471,0.0666418,0.151269
280,0.0334679,0.0364516,0.146488
281,0.106882,0.0455469,0.139207
282,0.116513,0.0483993,0.13356
283,0.0871336,0.0275623,0.136869
284,0.106995,0.0475843,0.133836
285,0.0259643,0.0485588,0.150239
286,0.110398,0.050462,0.140222
287,0.00808835,0.0885378,0.148957
288,0.12603,0.0806918,0.140596
289,0.121457,0.0967055,0.136244
290,0.045461,0.118162,0.14372
291,0.0226538,0.058213,0.144749
292,0.120034,0.0506337,0.135505
293,0.130299,0.0618578,0.132336
294,0.101005,0.11105,0.132575
295,0.099872,0.0357325,0.140378
296,0.0218631,0.0647195,0.155351
297,0.127758,0.0537158,0.130701
298,0.13098,0.0737305,0.132046
299,0.0398046,0.0331914,0.144602
300,0.110712,0.105044,0.134397
301,0.0539941,0.124478,0.144256
302,0.0774528,0.03517,0.149075
303,0.122212,0.0935499,0.138856
304,0.111323,0.105407,0.140014
305,0.0466256,0.122337,0.155557
306,0.0979479,0.120384,0.141329
307,0.02492,0.0593253,0.160641
308,0.0143453,0.0762775,0.156515
309,0.123283,0.0568286,0.139896
310,0.126536,0.0608351,0.138089
311,0.126492,0.0733013,0.14079
312,0.0274504,0.105185,0.155434
313,0.0375188,0.0359717,0.156
314,0.0624656,0.0378457,0.152181
315,0.118231,0.0987749,0.142393
316,0.0978398,0.0340916,0.143055
317,0.0938888,0.0297398,0.146476
318,0.110831,0.0523778,0.144345
319,0.0894954,0.0314064,0.156085
320,0.0208671,0.0748234,0.159657
321,0.0183285,0.0907347,0.157896
322,0.116008,0.106078,0.153184
323,0.0825398,0.125319,0.143094
324,0.0240415,0.0640052,0.157991
325,0.116697,0.057605,0.143375
326,0.0411564,0.11643,0.149448
327,0.110809,0.0474112,0.149118
328,0.123152,0.066896,0.142888
329,0.0695685,0.0368314,0.150435
330,0.0620182,0.127118,0.144806
331,0.0674477,0.128656,0.152322
332,0.0288565,0.0486327,0.158325
333,0.0402855,0.0354758,0.155888
334,0.0186345,0.084682,0.160184
335,0.0508629,0.03665,0.149958
336,0.118487,0.0610959,0.146109
337,0.105599,0.0419934,0.14852
338,0.0334827,0.0390199,0.154844
339,0.117305,0.0517633,0.154206
340,0.017971,0.0904127,0.164326
341,0.0941161,0.12434,0.149188
342,0.0856379,0.027194,0.14409
343,0.1237,0.0679639,0.146211
344,0.0229306,0.0920995,0.160454
345,0.123679,0.0861606,0.145715
346,0.0442983,0.0377676,0.161661
347,0.0249199,0.0981699,0.158892
348,0.0411167,0.03942,0.163736
349,0.125576,0.0761243,0.144279
350,0.0341292,0.110642,0.159544
351,0.0328878,0.0554924,0.170165
352,0.0201518,0.0677879,0.16961
353,0.0534877,0.0378543,0.158575
354,0.085397,0.0317365,0.15555
355,0.0601911,0.0365824,0.166725
356,0.0169701,0.0874598,0.166634
357,0.0684275,0.0364387,0.156029
358,0.0762792,0.0366405,0.154386
359,0.0994245,0.0361099,0.153841
360,0.0193176,0.0765351,0.167362
361,0.123085,0.0629689,0.151826
362,0.0779065,0.127321,0.148861
363,0.0253872,0.0597216,0.166155
364,0.110267,0.0461647,0.159632
365,0.0260988,0.0922092,0.166219
366,0.0556084,0.127915,0.156077
367,0.0705773,0.0342871,0.161423
368,0.0354774,0.0472714,0.167405
369,0.120468,0.10015,0.160742
370,0.108229,0.116484,0.151829
371,0.0276211,0.101556,0.163494
372,0.0932063,0.0339341,0.16276
373,0.0214132,0.0913045,0.171108
374,0.104758,0.120461,0.163723
375,0.128352,0.0706784,0.15058
376,0.0367629,0.114595,0.168765
377,0.0865916,0.0322371,0.163042
378,0.0221395,0.066049,0.177238
379,0.0457459,0.122522,0.167745
380,0.128419,0.0763119,0.150794
381,0.0542663,0.0410367,0.17196
382,0.102031,0.0373025,0.162148
383,0.0780205,0.033141,0.167251
384,0.045283,0.0446723,0.17844
385,0.123677,0.0569766,0.163211
386,0.126434,0.0653958,0.160261
387,0.020321,0.0882763,0.174901
388,0.080785,0.129136,0.164136
389,0.0190199,0.0833905,0.172975
390,0.122894,0.0929766,0.1604
391,0.0392724,0.0474797,0.174445
392,0.0206154,0.0885994,0.178656
393,0.0378736,0.0523626,0.172578
394,0.118318,0.0509258,0.162061
395,0.0470487,0.0402404,0.172286
396,0.0994749,0.0355314,0.167807
397,0.0235747,0.0957364,0.172842
398,0.0812595,0.0312045,0.175838
399,0.104956,0.0382542,0.166385
400,0.0265932,0.0625889,0.174941
401,0.0984186,0.124753,0.173331
402,0.122371,0.0530162,0.167364
403,0.0211053,0.0951376,0.180883
404,0.020002,0.0829439,0.179929
405,0.0197416,0.0717775,0.18045
406,0.128151,0.0715004,0.162927
407,0.0415773,0.11286,0.181496
408,0.112783,0.0463113,0.166201
409,0.086583,0.128506,0.173281
410,0.128172,0.0820541,0.160709
411,0.0307605,0.10581,0.172594
412,0.0915363,0.0350496,0.171786
413,0.120111,0.0984326,0.168909
414,0.0352575,0.0482185,0.180589
415,0.0664537,0.0285843,0.176124
416,0.0977689,0.0352816,0.172622
417,0.0225418,0.0777277,0.18645
418,0.131137,0.0687232,0.17271
419,0.133454,0.0751465,0.170645
420,0.113673,0.111644,0.165635
421,0.0191434,0.0898039,0.185949
422,0.0563303,0.126397,0.17419
423,0.118435,0.0480622,0.172226
424,0.0533156,0.121731,0.184143
425,0.0852775,0.0331927,0.177663
426,0.0463748,0.0462466,0.184809
427,0.0285518,0.060352,0.182887
428,0.0693111,0.129661,0.166361
429,0.025691,0.102466,0.178333
430,0.0324054,0.105589,0.188169
431,0.0829567,0.0331292,0.179666
432,0.0297716,0.0666131,0.192309
433,0.106742,0.119266,0.177668
434,0.0665661,0.128801,0.179773
435,0.0902701,0.0389766,0.177655
436,0.0204018,0.0949216,0.185828
437,0.128567,0.0860091,0.166114
438,0.0719052,0.0276114,0.174318
439,0.0213924,0.0922024,0.192319
440,0.0773701,0.0279726,0.177967
441,0.0540322,0.042705,0.179176
442,0.0391408,0.0458637,0.185328
443,0.11249,0.0388409,0.177282
444,0.0985813,0.0432725,0.180722
445,0.0242087,0.0969508,0.190879
446,0.126887,0.084442,0.176569
447,0.0476816,0.11498,0.186299
448,0.0970355,0.0452142,0.183795
449,0.106114,0.034089,0.177089
450,0.0864623,0.0408769,0.184222
451,0.108057,0.0387254,0.183018
452,0.0375901,0.11235,0.191855
453,0.0379656,0.0507337,0.190729
454,0.0326016,0.0534895,0.186231
455,0.0280705,0.0740793,0.194647
456,0.0564655,0.0439852,0.188408
457,0.128996,0.0642524,0.176179
458,0.102084,0.0451187,0.188027
459,0.122917,0.0955928,0.180596
460,0.049822,0.0496177,0.194086
461,0.0477806,0.049749,0.188861
462,0.118648,0.0469202,0.181089
463,0.131957,0.0757298,0.178358
464,0.0334387,0.105104,0.196396
465,0.11902,0.0503899,0.183275
466,0.101377,0.125284,0.18457
467,0.112546,0.0507951,0.184349
468,0.0469733,0.115379,0.195461
469,0.113529,0.0408331,0.185062
470,0.105835,0.0520004,0.187062
471,0.036995,0.0590785,0.19688
472,0.108188,0.0440079,0.185953
473,0.0238597,0.0835273,0.197899
474,0.034268,0.0702827,0.196347
475,0.0564575,0.122273,0.190073
476,0.0999293,0.0458151,0.189804
477,0.0445133,0.0538032,0.19353
478,0.121751,0.0568848,0.183795
479,0.0682334,0.026558,0.193953
480,0.0598551,0.033628,0.185212
481,0.0894682,0.0378911,0.194571
482,0.0432315,0.0598828,0.198133
483,0.11294,0.110717,0.181756
484,0.11301,0.0580393,0.185934
485,0.132234,0.0775187,0.184206
486,0.0718969,0.13008,0.191331
487,0.0782652,0.0240365,0.19036
488,0.0246076,0.0865959,0.205513
489,0.131122,0.0779388,0.193621
490,0.118203,0.102978,0.18629
491,0.0583655,0.0466971,0.194247
492,0.0756334,0.130112,0.186407
493,0.0590506,0.0465615,0.19867
494,0.132514,0.0709522,0.184811
495,0.0582023,0.0376881,0.194528
496,0.119935,0.0983802,0.18654
497,0.104342,0.123534,0.190299
498,0.126086,0.0603203,0.18182
499,0.093739,0.0426812,0.189436
500,0.107519,0.058754,0.192504
501,0.0232073,0.0950839,0.198521
502,0.0785603,0.134658,0.205726
503,0.0413709,0.0703705,0.199362
504,0.0750049,0.0257807,0.197234
505,0.040665,0.109864,0.198789
506,0.0466715,0.106498,0.203747
507,0.0449891,0.0596997,0.199388
508,0.121886,0.0596459,0.188061
509,0.0319953,0.0751008,0.199845
510,0.0330412,0.0799511,0.21306
511,0.130592,0.0697336,0.196938
512,0.083732,0.0283911,0.191095
513,0.116266,0.107203,0.189544
514,0.109216,0.0597074,0.189966
515,0.111922,0.0994779,0.193505
516,0.0512946,0.110535,0.203481
517,0.0997452,0.0481562,0.193966
518,0.0446742,0.0629045,0.203652
519,0.042621,0.0722386,0.202634
520,0.0373237,0.103853,0.207855
521,0.0297668,0.0991965,0.204477
522,0.0547535,0.12132,0.201913
523,0.0511487,0.052748,0.202607
524,0.0436445,0.0720881,0.207347
525,0.0894788,0.130714,0.18999
526,0.0582991,0.0331719,0.204952
527,0.0591702,0.125975,0.199812
528,0.110125,0.103154,0.198018
529,0.114365,0.109197,0.197228
530,0.128247,0.065051,0.194639
531,0.0618772,0.127319,0.207031
532,0.0564026,0.0463558,0.205564
533,0.118102,0.0925224,0.193393
534,0.0839734,0.0250973,0.196669
535,0.113086,0.0627982,0.203534
536,0.0253324,0.0923055,0.207473
537,0.0904515,0.0300368,0.201717
538,0.0553575,0.0394547,0.204471
539,0.0451975,0.0650953,0.209129
540,0.0474963,0.0568428,0.208263
541,0.108495,0.0601513,0.198013
542,0.124219,0.0902637,0.192397
543,0.0544844,0.113576,0.20641
544,0.0268694,0.0952867,0.212786
545,0.114896,0.0968584,0.202887
546,0.0925695,0.040777,0.203185
547,0.0560386,0.0497701,0.203203
548,0.100825,0.0530357,0.206416
549,0.0970038,0.0500792,0.19991
550,0.103526,0.0522493,0.198417
551,0.0270888,0.0922217,0.215075
552,0.0555115,0.0531881,0.208486
553,0.115272,0.104195,0.204016
554,0.0984914,0.12831,0.191356
555,0.0539683,0.044042,0.215673
556,0.0508366,0.056948,0.213737
557,0.0475531,0.0649234,0.213487
558,0.105073,0.0594787,0.202878
559,0.0513716,0.109138,0.213102
560,0.0946651,0.134383,0.210459
561,0.113085,0.113182,0.195303
562,0.0336871,0.0994276,0.216487
563,0.112789,0.0639653,0.207831
564,0.0560024,0.123007,0.208441
565,0.101221,0.0428125,0.209515
566,0.128353,0.0843088,0.206634
567,0.126679,0.0876906,0.202886
568,0.115526,0.108454,0.202545
569,0.132005,0.0762753,0.202115
570,0.0710018,0.133485,0.208527
571,0.0801018,0.0292822,0.207624
572,0.0971582,0.0349614,0.210693
573,0.109187,0.0599772,0.2089
574,0.0321741,0.0941265,0.220689
575,0.0898102,0.137322,0.222473
576,0.0481261,0.0691243,0.214035
577,0.0317393,0.089643,0.220648
578,0.0475159,0.108639,0.222069
579,0.122334,0.0651073,0.20512
580,0.0298991,0.0836883,0.214763
581,0.0473381,0.0640264,0.216502
582,0.0430278,0.0768694,0.2181
583,0.0521791,0.111195,0.218673
584,0.0394708,0.106652,0.221484
585,0.0606956,0.124481,0.213605
586,0.117101,0.0646912,0.212707
587,0.101094,0.131665,0.21252
588,0.112232,0.115007,0.209315
589,0.0872268,0.026812,0.205167
590,0.0375988,0.083876,0.223458
591,0.127532,0.076161,0.211562
592,0.045675,0.0517545,0.223181
593,0.127888,0.0698482,0.205808
594,0.12556,0.0920333,0.209631
595,0.0710852,0.0297114,0.210806
596,0.117158,0.0963612,0.209457
597,0.108137,0.123118,0.205197
598,0.0356356,0.0977614,0.221623
599,0.115577,0.0992748,0.21134
600,0.080464,0.136828,0.22098
601,0.0953275,0.0314422,0.215609
602,0.106048,0.0397854,0.214747
603,0.11743,0.0936969,0.213425
604,0.0602749,0.0334878,0.212329
605,0.119574,0.0682526,0.211801
606,0.109972,0.12267,0.218361
607,0.111405,0.0442644,0.21353
608,0.0390265,0.0808485,0.225085
609,0.0419737,0.0561507,0.223465
610,0.0380515,0.0905567,0.226564
611,0.071959,0.0302207,0.224511
612,0.0425549,0.103756,0.225214
613,0.0680971,0.130512,0.222303
614,0.042495,0.0946758,0.226787
615,0.0578182,0.113448,0.221616
616,0.12135,0.0861639,0.214619
