sim_time,iter,tau_x_surface_com,tau_x_surface_center,tau_x_all_com,force_sum_x,force_sum_y,force_sum_z,ramp
0.5,240,0.298389,0.422061,0.298389,-7.47052e-07,4.78293e-06,5.74818,1
1,480,0.178377,0.140039,0.178377,-1.37973e-06,-1.16394e-05,2.52866,1
1.5,720,0.572994,0.421978,0.572994,-3.76786e-05,-3.38606e-06,18.245,1
