vtx,x,y,z
0,0.217248,0.129927,0.472417
1,0.21999,0.124886,0.473799
2,0.212944,0.131867,0.469798
3,0.210743,0.129025,0.464615
4,0.207725,0.128732,0.462719
5,0.213485,0.121251,0.466269
6,0.219604,0.133144,0.483342
7,0.221279,0.130917,0.483025
8,0.214222,0.119154,0.468197
9,0.220766,0.120828,0.478698
10,0.204474,0.131385,0.470599
11,0.196086,0.117503,0.462334
12,0.202538,0.123938,0.461765
13,0.211454,0.133196,0.479906
14,0.199526,0.12548,0.461656
15,0.223791,0.129175,0.495545
16,0.218129,0.132595,0.492276
17,0.197536,0.123002,0.456601
18,0.220136,0.134399,0.49616
19,0.209476,0.113663,0.469175
20,0.21048,0.134881,0.48471
21,0.201273,0.111376,0.463244
22,0.194468,0.123068,0.455502
23,0.202672,0.135625,0.476094
24,0.201777,0.103996,0.46615
25,0.211083,0.112164,0.476768
26,0.221185,0.121935,0.493948
27,0.190078,0.138328,0.467065
28,0.192583,0.114089,0.460713
29,0.194102,0.134462,0.468826
30,0.206579,0.140044,0.48914
31,0.1963,0.142353,0.480374
32,0.212936,0.143186,0.499806
33,0.208732,0.145227,0.494614
34,0.217237,0.114327,0.483861
35,0.220437,0.1104,0.49856
36,0.220585,0.119551,0.486396
37,0.190708,0.131915,0.460616
38,0.211176,0.0986397,0.49012
39,0.184311,0.140761,0.467928
40,0.198066,0.148303,0.487467
41,0.218793,0.109756,0.493417
42,0.186382,0.126498,0.459159
43,0.20868,0.139511,0.513832
44,0.192636,0.146617,0.478991
45,0.192377,0.108571,0.46245
46,0.219022,0.120241,0.503222
47,0.197251,0.100582,0.463923
48,0.189779,0.116888,0.458587
49,0.216192,0.13151,0.505121
50,0.199846,0.149006,0.497668
51,0.184082,0.108072,0.461171
52,0.187288,0.145476,0.475138
53,0.199661,0.0918547,0.469502
54,0.198487,0.0842639,0.469439
55,0.189577,0.150429,0.488673
56,0.21471,0.101182,0.495388
57,0.204004,0.147505,0.502188
58,0.219291,0.0928629,0.502726
59,0.178336,0.143373,0.475727
60,0.20455,0.0883066,0.491001
61,0.205527,0.0958486,0.482023
62,0.185526,0.0968233,0.463845
63,0.217833,0.0914431,0.501108
64,0.177968,0.137478,0.465758
65,0.200665,0.0971913,0.472191
66,0.173844,0.119329,0.462063
67,0.187694,0.0863651,0.464954
68,0.169791,0.124682,0.463757
69,0.175988,0.144165,0.483939
70,0.197072,0.0873868,0.476564
71,0.192677,0.0813542,0.466615
72,0.209933,0.134312,0.517201
73,0.208614,0.0920334,0.500652
74,0.174097,0.13791,0.473956
75,0.213652,0.125605,0.515164
76,0.172092,0.141834,0.481006
77,0.193057,0.146992,0.504253
78,0.200012,0.0898728,0.481793
79,0.176087,0.112411,0.461944
80,0.176586,0.10086,0.463853
81,0.165895,0.128996,0.467206
82,0.207208,0.145245,0.506425
83,0.215209,0.116549,0.5156
84,0.167935,0.113007,0.456966
85,0.168809,0.135178,0.471077
86,0.167409,0.101396,0.457115
87,0.187952,0.14696,0.501353
88,0.162925,0.10929,0.454602
89,0.203892,0.140568,0.519875
90,0.21849,0.120676,0.528067
91,0.181149,0.14569,0.494263
92,0.219372,0.0928688,0.509229
93,0.156603,0.0989085,0.454366
94,0.174199,0.134239,0.464791
95,0.196756,0.144009,0.507905
96,0.214838,0.087366,0.503861
97,0.216856,0.127372,0.530234
98,0.191195,0.0802405,0.478496
