vtx,x,y,z
0,0.0971155,0.194875,0.37498
1,0.0986061,0.189847,0.372294
2,0.0928835,0.197577,0.376931
3,0.087226,0.197151,0.374184
4,0.0837737,0.197563,0.374979
5,0.0881638,0.189538,0.370771
6,0.106631,0.193181,0.381378
7,0.107026,0.191378,0.379279
8,0.0893567,0.186847,0.370808
9,0.101188,0.184115,0.373557
10,0.0871726,0.196446,0.383178
11,0.07213,0.187101,0.379082
12,0.0781472,0.193435,0.376366
13,0.0986085,0.194369,0.384896
14,0.0763237,0.194761,0.378883
15,0.11634,0.184535,0.38497
16,0.111125,0.188774,0.387976
17,0.0710035,0.194603,0.376179
18,0.115528,0.18881,0.389667
19,0.085101,0.181271,0.372914
20,0.101429,0.193776,0.389221
21,0.0748097,0.181384,0.374052
22,0.0681077,0.195007,0.377617
23,0.0905157,0.19784,0.389369
24,0.0750626,0.173502,0.373115
25,0.0906913,0.176727,0.376173
26,0.111516,0.178586,0.383385
27,0.0764116,0.20366,0.393205
28,0.0676632,0.184548,0.379341
29,0.0793958,0.19957,0.39026
30,0.102848,0.196358,0.39649
31,0.0904874,0.201816,0.398776
32,0.115077,0.194857,0.399918
33,0.109296,0.198759,0.400209
34,0.100211,0.175891,0.377152
35,0.110853,0.166176,0.383014
36,0.105625,0.179656,0.378183
37,0.071022,0.200663,0.38647
38,0.095682,0.158786,0.38013
39,0.0734619,0.205255,0.398573
40,0.0979094,0.204199,0.404072
41,0.106211,0.167727,0.380663
42,0.0655156,0.196202,0.386734
43,0.120018,0.185338,0.41062
44,0.0881271,0.206121,0.401849
45,0.0671539,0.178803,0.378779
46,0.115439,0.17298,0.390254
47,0.0694812,0.171171,0.373688
48,0.0650313,0.187879,0.380831
49,0.117649,0.182193,0.39717
50,0.105903,0.200514,0.409579
51,0.0602289,0.178539,0.383538
52,0.0814979,0.206542,0.402705
53,0.0724781,0.161033,0.372649
54,0.0695991,0.154183,0.370858
55,0.093153,0.205272,0.411448
56,0.102264,0.158967,0.381888
57,0.111372,0.197379,0.409068
58,0.10805,0.148522,0.380608
59,0.0748547,0.204023,0.408602
60,0.0887347,0.14879,0.381825
61,0.0857148,0.159502,0.377944
62,0.0599911,0.167283,0.380501
63,0.105595,0.147868,0.380104
64,0.0666154,0.202957,0.400485
65,0.0763174,0.164732,0.375467
66,0.0564215,0.187923,0.394947
67,0.0594967,0.157473,0.376189
68,0.0560155,0.191873,0.400628
69,0.0786413,0.201098,0.415779
70,0.0739207,0.153845,0.377467
71,0.0628437,0.152497,0.372083
72,0.121672,0.179243,0.410178
73,0.0988201,0.148179,0.386395
74,0.0691905,0.199664,0.40859
75,0.120681,0.172431,0.403396
76,0.0733262,0.200091,0.415824
77,0.104702,0.19559,0.417841
78,0.0800213,0.153965,0.379615
79,0.0561148,0.181802,0.391013
80,0.0546238,0.170537,0.388048
81,0.0565767,0.194139,0.406988
82,0.115769,0.193646,0.408787
83,0.119642,0.164144,0.399573
84,0.0472214,0.184113,0.393662
85,0.0628052,0.198201,0.409508
86,0.043849,0.173503,0.390264
87,0.0991668,0.196604,0.419538
88,0.0411103,0.181539,0.394381
89,0.12075,0.183475,0.418169
90,0.131091,0.162616,0.40661
91,0.0893852,0.198233,0.419316
92,0.11226,0.145749,0.384703
93,0.0336431,0.171959,0.395157
94,0.0624058,0.200284,0.401398
95,0.10889,0.191468,0.416611
96,0.104126,0.142875,0.382552
97,0.133114,0.167641,0.411363
98,0.06903,0.146307,0.38036
99,0.0467658,0.193238,0.404302
100,0.107533,0.141457,0.382171
101,0.0649794,0.14649,0.375758
102,0.0962236,0.14438,0.388682
103,0.0445098,0.19001,0.399431
104,0.135531,0.173736,0.422656
105,0.119931,0.152539,0.399805
106,0.0412443,0.189238,0.400516
107,0.0734733,0.143989,0.383111
108,0.116268,0.187802,0.417877
109,0.10442,0.131291,0.3937
110,0.0894903,0.138576,0.385918
111,0.0530245,0.162784,0.387942
112,0.12926,0.156556,0.404117
113,0.0589559,0.19479,0.41506
114,0.109454,0.187513,0.426711
115,0.0619084,0.142924,0.382787
116,0.100319,0.14086,0.3914
117,0.0456527,0.197901,0.417601
118,0.119305,0.184927,0.422852
119,0.0769485,0.138291,0.384191
120,0.132096,0.178156,0.430089
121,0.0529948,0.152459,0.383598
122,0.0490014,0.155523,0.389942
123,0.0339868,0.162627,0.393003
124,0.105734,0.18987,0.425995
125,0.141259,0.160616,0.421427
126,0.0660577,0.143714,0.387507
127,0.116189,0.155487,0.393738
128,0.0594224,0.146418,0.378713
129,0.136796,0.15994,0.414791
130,0.0309686,0.181367,0.402123
131,0.0328539,0.185695,0.406669
132,0.0779798,0.196149,0.431917
133,0.0950022,0.192708,0.435075
134,0.108801,0.134692,0.391761
135,0.142884,0.145857,0.420883
136,0.0400862,0.197417,0.412182
137,0.083259,0.134647,0.388917
138,0.113883,0.139333,0.394676
139,0.129053,0.141368,0.407014
140,0.0978924,0.135566,0.393776
141,0.0666943,0.139564,0.38959
142,0.0362015,0.192931,0.411624
143,0.0576283,0.138925,0.38449
144,0.0898722,0.130826,0.390632
145,0.0703756,0.130672,0.389094
146,0.118948,0.138131,0.403255
147,0.0386112,0.196096,0.4241
148,0.0595388,0.133138,0.391001
149,0.123718,0.136453,0.406421
150,0.0246007,0.184183,0.412778
151,0.030823,0.190294,0.42215
152,0.103755,0.184119,0.437429
153,0.124484,0.181995,0.438545
154,0.134585,0.145981,0.412232
155,0.0230323,0.171941,0.404087
156,0.0850523,0.19023,0.443799
157,0.042544,0.196967,0.424861
158,0.0479576,0.14802,0.392033
159,0.100318,0.131398,0.396406
160,0.0313644,0.185848,0.415208
161,0.0513639,0.190896,0.43594
162,0.0555715,0.193171,0.42945
163,0.115289,0.131181,0.40443
164,0.0252829,0.175291,0.401258
165,0.0306524,0.189838,0.432439
166,0.0638484,0.193013,0.425085
167,0.0518204,0.131151,0.387867
168,0.0989588,0.184773,0.441698
169,0.0982975,0.121947,0.401748
170,0.0931448,0.120535,0.398134
171,0.137802,0.170525,0.437909
172,0.105869,0.123267,0.398089
173,0.0730316,0.122892,0.40066
174,0.0515845,0.141442,0.386801
175,0.142357,0.140769,0.422464
176,0.143356,0.155148,0.427312
177,0.141052,0.161051,0.439075
178,0.0671343,0.191779,0.43527
179,0.112298,0.18337,0.443693
180,0.0911459,0.187403,0.444532
181,0.0406997,0.140836,0.395722
182,0.120817,0.130424,0.409504
183,0.110651,0.117121,0.407429
184,0.131112,0.177184,0.442593
185,0.0661207,0.188677,0.441775
186,0.0592808,0.193699,0.435317
187,0.0900993,0.124268,0.39464
188,0.0555801,0.126802,0.395531
189,0.0459045,0.129345,0.391343
190,0.135898,0.137483,0.421334
191,0.0861321,0.124633,0.398708
192,0.114024,0.126661,0.412737
193,0.139777,0.164599,0.444424
194,0.0608802,0.122578,0.393884
195,0.11215,0.124605,0.405592
