vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.0108496,-0.0232529,0.0201716,-0.0108496,-0.0232529,0.0201716
1,0,0,0,-0.0147458,-0.00471826,0.0314676,-0.0147458,-0.00471826,0.0314676
2,0,0,0,-0.00659167,-0.025654,0.00381861,-0.00659167,-0.025654,0.00381861
3,0,0,0,-0.000479496,-0.00952296,0.0115345,-0.000479496,-0.00952296,0.0115345
4,0,0,0,0.0131082,-0.0262054,0.0201522,0.0131082,-0.0262054,0.0201522
5,0,0,0,-0.000323942,-0.00307191,0.0134071,-0.000323942,-0.00307191,0.0134071
6,0,0,0,-0.00638155,-0.0103925,0.00131337,-0.00638155,-0.0103925,0.00131337
7,0,0,0,-0.0093897,-0.00744812,0.00869818,-0.0093897,-0.00744812,0.00869818
8,0,0,0,-0.00307585,0.0104862,0.0393369,-0.00307585,0.0104862,0.0393369
9,0,0,0,-0.0403668,0.0142906,0.0756022,-0.0403668,0.0142906,0.0756022
10,0,0,0,-0.00406157,-0.0576135,0.00599208,-0.00406157,-0.0576135,0.00599208
11,0,0,0,0.0122777,-0.00909991,0.0278156,0.0122777,-0.00909991,0.0278156
12,0,0,0,0.0092108,-0.0094517,0.0197721,0.0092108,-0.0094517,0.0197721
13,0,0,0,-0.0135224,-0.0460497,-0.00185125,-0.0135224,-0.0460497,-0.00185125
14,0,0,0,-0.000875336,-0.0106051,0.00432418,-0.000875336,-0.0106051,0.00432418
15,0,0,0,-0.0127223,-0.00360924,0.00750089,-0.0127223,-0.00360924,0.00750089
16,0,0,0,-0.0210926,-0.0439639,0.0106002,-0.0210926,-0.0439639,0.0106002
17,0,0,0,0.000682894,-0.00248224,0.0137893,0.000682894,-0.00248224,0.0137893
18,0,0,0,-0.0296652,-0.0277222,0.0182054,-0.0296652,-0.0277222,0.0182054
19,0,0,0,0.000162887,0.00949861,0.0355451,0.000162887,0.00949861,0.0355451
20,0,0,0,-0.0237663,-0.0562239,0.0191105,-0.0237663,-0.0562239,0.0191105
21,0,0,0,0.0348615,-0.0217369,0.0776615,0.0348615,-0.0217369,0.0776615
