vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,7.83775e-05,-0.000882854,-0.000330813,7.83775e-05,-0.000882854,-0.000330813
1,0,0,0,0.0038326,-0.0077074,0.000454188,0.0038326,-0.0077074,0.000454188
2,0,0,0,-0.00792116,-0.00439957,-0.00502747,-0.00792116,-0.00439957,-0.00502747
3,0,0,0,0.00119341,-0.0106855,-0.0077047,0.00119341,-0.0106855,-0.0077047
4,0,0,0,-0.00197849,-0.0208804,-0.0392844,-0.00197849,-0.0208804,-0.0392844
5,0,0,0,0.00278944,-0.0032244,-0.00185504,0.00278944,-0.0032244,-0.00185504
6,0,0,0,0.000208754,-0.000129661,-1.04238e-05,0.000208754,-0.000129661,-1.04238e-05
7,0,0,0,0.000260096,-0.000170668,5.83771e-06,0.000260096,-0.000170668,5.83771e-06
8,0,0,0,0.0138251,-0.00977703,-0.000778257,0.0138251,-0.00977703,-0.000778257
9,0,0,0,0.0151312,-0.0235607,0.00661741,0.0151312,-0.0235607,0.00661741
10,0,0,0,-0.0476803,-0.0396583,-0.0439435,-0.0476803,-0.0396583,-0.0439435
11,0,0,0,0.0237767,-0.0240507,-0.0306796,0.0237767,-0.0240507,-0.0306796
12,0,0,0,0.0130778,-0.0164459,-0.0239559,0.0130778,-0.0164459,-0.0239559
13,0,0,0,-0.0117386,-0.0101049,-0.00690289,-0.0117386,-0.0101049,-0.00690289
14,0,0,0,-0.00604712,-0.011447,-0.0103704,-0.00604712,-0.011447,-0.0103704
15,0,0,0,0.000282665,4.08117e-05,-4.55864e-05,0.000282665,4.08117e-05,-4.55864e-05
16,0,0,0,0.000346437,7.85165e-05,6.04251e-05,0.000346437,7.85165e-05,6.04251e-05
17,0,0,0,0.0132804,-0.0166666,-0.00938282,0.0132804,-0.0166666,-0.00938282
18,0,0,0,0.000323862,4.87345e-05,-2.24471e-05,0.000323862,4.87345e-05,-2.24471e-05
19,0,0,0,0.0242102,-0.0172072,-0.00372607,0.0242102,-0.0172072,-0.00372607
20,0,0,0,-0.00662208,-0.0107155,-0.00492957,-0.00662208,-0.0107155,-0.00492957
21,0,0,0,0.0597199,-0.0579202,-0.0787466,0.0597199,-0.0579202,-0.0787466
22,0,0,0,0.0128239,-0.00800654,-0.0179345,0.0128239,-0.00800654,-0.0179345
23,0,0,0,-0.0274009,-0.0410097,-0.0275451,-0.0274009,-0.0410097,-0.0275451
24,0,0,0,0.0305985,-0.0349705,-0.00884887,0.0305985,-0.0349705,-0.00884887
25,0,0,0,0.0414073,-0.0414725,0.00464964,0.0414073,-0.0414725,0.00464964
26,0,0,0,0.000222245,4.08193e-05,-4.81088e-05,0.000222245,4.08193e-05,-4.81088e-05
27,0,0,0,-0.0178089,-0.0416665,-0.0292366,-0.0178089,-0.0416665,-0.0292366
28,0,0,0,0.0385841,-0.0304871,-0.0406784,0.0385841,-0.0304871,-0.0406784
29,0,0,0,-0.0218739,-0.0563507,-0.0303968,-0.0218739,-0.0563507,-0.0303968
30,0,0,0,-0.00697397,-0.0219148,-0.0110824,-0.00697397,-0.0219148,-0.0110824
31,0,0,0,-0.0123717,-0.0478158,-0.0212881,-0.0123717,-0.0478158,-0.0212881
32,0,0,0,-0.00618989,-0.00790549,0.0010091,-0.00618989,-0.00790549,0.0010091
33,0,0,0,-0.0102709,-0.0180298,-0.00703919,-0.0102709,-0.0180298,-0.00703919
34,0,0,0,0.00733533,-0.00701096,0.00108455,0.00733533,-0.00701096,0.00108455
35,0,0,0,0.00084646,-0.0014294,0.000410802,0.00084646,-0.0014294,0.000410802
36,0,0,0,0.00756113,-0.013349,0.0053405,0.00756113,-0.013349,0.0053405
37,0,0,0,-0.00420484,-0.00959239,-0.0132951,-0.00420484,-0.00959239,-0.0132951
38,0,0,0,0.0210895,-0.019256,0.00336584,0.0210895,-0.019256,0.00336584
39,0,0,0,-0.0408378,-0.0304787,-0.0662469,-0.0408378,-0.0304787,-0.0662469
40,0,0,0,-0.0308671,-0.0340654,-0.0200142,-0.0308671,-0.0340654,-0.0200142
41,0,0,0,0.0102153,-0.0117918,0.00027862,0.0102153,-0.0117918,0.00027862
42,0,0,0,0.00418142,-0.00309309,-0.041016,0.00418142,-0.00309309,-0.041016
