sim_time,iter,tau_x_surface_com,tau_x_surface_center,tau_x_all_com,force_sum_x,force_sum_y,force_sum_z,ramp
0.5,240,1.31564,1.21632,1.31564,3.67023e-06,9.05091e-06,5.93523,1
1,480,0.354302,-1.21078,0.354302,-3.5035e-06,-4.77391e-06,10.6581,1
