vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.0129286,-0.0197844,-0.0218474,-0.0129286,-0.0197844,-0.0218474
1,0,0,0,0.00376913,-0.0302318,-0.0129172,0.00376913,-0.0302318,-0.0129172
2,0,0,0,-0.0208213,-0.00481811,-0.0170359,-0.0208213,-0.00481811,-0.0170359
3,0,0,0,-0.00189448,-0.00741314,-0.013512,-0.00189448,-0.00741314,-0.013512
4,0,0,0,-0.00355332,-0.00250641,-0.0410696,-0.00355332,-0.00250641,-0.0410696
5,0,0,0,0.00409047,-0.00835931,-0.00938543,0.00409047,-0.00835931,-0.00938543
6,0,0,0,-0.0095765,-0.00302372,-0.00413864,-0.0095765,-0.00302372,-0.00413864
7,0,0,0,-0.00583783,-0.0100643,-0.00466796,-0.00583783,-0.0100643,-0.00466796
8,0,0,0,0.0248512,-0.0295272,-0.0127097,0.0248512,-0.0295272,-0.0127097
9,0,0,0,0.0240208,-0.0766701,-0.0110622,0.0240208,-0.0766701,-0.0110622
10,0,0,0,-0.0454345,-0.00420023,-0.0466953,-0.0454345,-0.00420023,-0.0466953
11,0,0,0,0.016081,-0.0118968,-0.0327377,0.016081,-0.0118968,-0.0327377
12,0,0,0,0.00864026,-0.00658468,-0.0256581,0.00864026,-0.00658468,-0.0256581
13,0,0,0,-0.0401207,-0.0049546,-0.0237039,-0.0401207,-0.0049546,-0.0237039
14,0,0,0,-0.00764252,-0.00266244,-0.0118298,-0.00764252,-0.00266244,-0.0118298
15,0,0,0,-0.0051576,-0.0111562,-0.000121195,-0.0051576,-0.0111562,-0.000121195
16,0,0,0,-0.0339142,-0.0178188,-0.0236936,-0.0339142,-0.0178188,-0.0236936
17,0,0,0,0.00715374,-0.0109978,-0.0130126,0.00715374,-0.0109978,-0.0130126
18,0,0,0,-0.0243606,-0.0299349,-0.0133888,-0.0243606,-0.0299349,-0.0133888
19,0,0,0,0.0243955,-0.0245886,-0.0128871,0.0243955,-0.0245886,-0.0128871
20,0,0,0,-0.0406618,-0.0260759,-0.0359515,-0.0406618,-0.0260759,-0.0359515
21,0,0,0,0.0432508,-0.0304058,-0.0830541,0.0432508,-0.0304058,-0.0830541
22,0,0,0,0.00899279,-0.00154339,-0.016638,0.00899279,-0.00154339,-0.016638
23,0,0,0,-0.0297006,-0.0152808,-0.0345925,-0.0297006,-0.0152808,-0.0345925
24,0,0,0,0.0179693,-0.0288396,-0.0189192,0.0179693,-0.0288396,-0.0189192
25,0,0,0,0.0526963,-0.078061,-0.0215623,0.0526963,-0.078061,-0.0215623
26,0,0,0,0.00149167,-0.0192263,-0.000296708,0.00149167,-0.0192263,-0.000296708
27,0,0,0,-0.0180704,-0.0142307,-0.0300661,-0.0180704,-0.0142307,-0.0300661
28,0,0,0,0.0273707,-0.0164999,-0.0422805,0.0273707,-0.0164999,-0.0422805
29,0,0,0,-0.0253633,-0.0241488,-0.0381885,-0.0253633,-0.0241488,-0.0381885
30,0,0,0,-0.0368997,-0.0426726,-0.0606915,-0.0368997,-0.0426726,-0.0606915
31,0,0,0,-0.0183197,-0.0243994,-0.031104,-0.0183197,-0.0243994,-0.031104
32,0,0,0,-0.045858,-0.0394418,-0.0102202,-0.045858,-0.0394418,-0.0102202
33,0,0,0,-0.0468735,-0.0410975,-0.05352,-0.0468735,-0.0410975,-0.05352
34,0,0,0,0.0132971,-0.0217282,-0.0052202,0.0132971,-0.0217282,-0.0052202
35,0,0,0,-0.000391752,-0.0162203,-0.000336003,-0.000391752,-0.0162203,-0.000336003
36,0,0,0,0.00853154,-0.0446896,-0.00176739,0.00853154,-0.0446896,-0.00176739
37,0,0,0,-0.00506681,-0.000530561,-0.0122245,-0.00506681,-0.000530561,-0.0122245
38,0,0,0,0.0323976,-0.049621,-0.0107891,0.0323976,-0.049621,-0.0107891
39,0,0,0,-0.0270835,0.00599328,-0.0464548,-0.0270835,0.00599328,-0.0464548
40,0,0,0,-0.0463075,-0.0181462,-0.0382905,-0.0463075,-0.0181462,-0.0382905
41,0,0,0,0.0249039,-0.0508247,-0.0179168,0.0249039,-0.0508247,-0.0179168
42,0,0,0,0.00419309,0.0105666,-0.0299679,0.00419309,0.0105666,-0.0299679
43,0,0,0,-0.0785053,-0.0637245,0.0152113,-0.0785053,-0.0637245,0.0152113
44,0,0,0,-0.0203916,-0.00971117,-0.0227775,-0.0203916,-0.00971117,-0.0227775
45,0,0,0,0.0465053,-0.0130051,-0.0754996,0.0465053,-0.0130051,-0.0754996
46,0,0,0,-0.0138628,-0.056361,0.0156293,-0.0138628,-0.056361,0.0156293
47,0,0,0,0.0275288,-0.0205683,-0.0486135,0.0275288,-0.0205683,-0.0486135
48,0,0,0,0.0189501,0.00335682,-0.0295872,0.0189501,0.00335682,-0.0295872
49,0,0,0,-0.0263808,-0.0532152,0.0190293,-0.0263808,-0.0532152,0.0190293
50,0,0,0,-0.0435526,-0.000942887,-0.00911544,-0.0435526,-0.000942887,-0.00911544
51,0,0,0,0.0326143,-0.00119977,-0.052756,0.0326143,-0.00119977,-0.052756
52,0,0,0,-0.0171849,0.00151837,-0.0192142,-0.0171849,0.00151837,-0.0192142
53,0,0,0,0.00284104,-0.0153399,-0.00423964,0.00284104,-0.0153399,-0.00423964
54,0,0,0,0.00455371,-0.0108213,-0.00161015,0.00455371,-0.0108213,-0.00161015
55,0,0,0,-0.0535159,0.00959523,-0.0214946,-0.0535159,0.00959523,-0.0214946
56,0,0,0,0.024334,-0.0261224,-0.0132176,0.024334,-0.0261224,-0.0132176
57,0,0,0,-0.0208234,-0.00381121,-0.00284369,-0.0208234,-0.00381121,-0.00284369
58,0,0,0,0.00503922,-0.0230319,-0.00540635,0.00503922,-0.0230319,-0.00540635
59,0,0,0,-0.0189031,0.0136762,-0.0161081,-0.0189031,0.0136762,-0.0161081
60,0,0,0,0.0309458,-0.0463966,-0.00533909,0.0309458,-0.0463966,-0.00533909
61,0,0,0,0.0376958,-0.0478792,-0.0162159,0.0376958,-0.0478792,-0.0162159
62,0,0,0,0.0287619,0.00197029,-0.0551076,0.0287619,0.00197029,-0.0551076
63,0,0,0,0.0171269,-0.00755057,-0.0149153,0.0171269,-0.00755057,-0.0149153
64,0,0,0,-0.0203404,0.0178255,-0.0483625,-0.0203404,0.0178255,-0.0483625
65,0,0,0,0.00675021,-0.0185348,-0.00245869,0.00675021,-0.0185348,-0.00245869
66,0,0,0,0.00917505,0.000854342,-0.0617696,0.00917505,0.000854342,-0.0617696
