vtx,x,y,z
0,0.0523127,0.254001,0.457809
1,0.0481524,0.255214,0.453815
2,0.0532159,0.251147,0.462275
3,0.0486364,0.250115,0.466448
4,0.0477099,0.247842,0.469035
5,0.0420722,0.250738,0.461212
6,0.0595754,0.253503,0.448795
7,0.0573416,0.254747,0.447667
8,0.0409008,0.25047,0.458527
9,0.046381,0.253737,0.447843
10,0.0534837,0.243022,0.464382
11,0.0379077,0.235054,0.469311
12,0.0432102,0.242416,0.469895
13,0.0585684,0.247062,0.45461
14,0.0447339,0.239933,0.471592
15,0.0606565,0.253134,0.435404
16,0.0626994,0.249515,0.441439
17,0.0405433,0.239126,0.475714
18,0.0658075,0.250615,0.438078
19,0.0365015,0.244735,0.457317
20,0.0620966,0.24511,0.451458
21,0.0324048,0.23844,0.464453
22,0.0403121,0.236622,0.477768
23,0.0596758,0.240576,0.461868
24,0.02683,0.236611,0.459051
25,0.0381344,0.243682,0.449683
26,0.0535314,0.249818,0.435014
27,0.0591274,0.232154,0.47506
28,0.0343254,0.231636,0.47069
29,0.0561069,0.234588,0.470696
30,0.0688295,0.24126,0.450953
31,0.0679104,0.23478,0.462953
32,0.07572,0.244643,0.440728
33,0.0756792,0.242675,0.447416
34,0.0427088,0.247685,0.442242
35,0.0449247,0.245519,0.427051
36,0.0483352,0.251024,0.44083
37,0.0506215,0.233362,0.477976
38,0.0312611,0.237118,0.433213
39,0.0620229,0.227036,0.47727
40,0.0761442,0.235503,0.458451
41,0.0423291,0.245402,0.431813
42,0.045339,0.228736,0.478773
43,0.0783796,0.235929,0.428818
44,0.0714245,0.232627,0.467009
45,0.030004,0.229866,0.467249
46,0.0558686,0.244786,0.427183
47,0.0230446,0.232394,0.461301
48,0.0361682,0.230203,0.474531
49,0.0670821,0.243813,0.430706
50,0.0809036,0.23427,0.449327
51,0.0294929,0.222453,0.471121
52,0.0691114,0.228573,0.471779
53,0.0172702,0.231198,0.452396
54,0.0104046,0.228581,0.450011
55,0.0790708,0.227686,0.461202
56,0.0355408,0.239323,0.428388
57,0.0811677,0.236492,0.443424
58,0.0306872,0.239678,0.417402
59,0.0679582,0.219699,0.473678
60,0.0226005,0.228604,0.431001
61,0.0257146,0.233732,0.441124
62,0.020247,0.220768,0.464186
