sim_time,iter,tau_x_surface_com,tau_x_surface_center,tau_x_all_com,force_sum_x,force_sum_y,force_sum_z,ramp
0.5,240,1.51072,1.47064,1.51072,-2.25155e-06,-1.20025e-05,4.60296,1
1,480,1.48976,0.424195,1.48976,9.19955e-06,1.1657e-05,7.13827,1
1.5,720,1.39047,1.68601,1.39047,-5.04043e-06,6.96715e-06,4.95883,1
