vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.00313434,-0.0153553,0.0315002,-0.00313434,-0.0153553,0.0315002
1,0,0,0,-0.00567141,0.00760951,0.0368934,-0.00567141,0.00760951,0.0368934
2,0,0,0,-0.00293243,-0.0243697,0.014912,-0.00293243,-0.0243697,0.014912
3,0,0,0,0.00411492,-0.00478681,0.0158069,0.00411492,-0.00478681,0.0158069
4,0,0,0,0.0253634,-0.0215352,0.0284909,0.0253634,-0.0215352,0.0284909
5,0,0,0,0.00422781,0.00294158,0.014727,0.00422781,0.00294158,0.014727
6,0,0,0,-0.00469489,-0.00845915,0.00605728,-0.00469489,-0.00845915,0.00605728
7,0,0,0,-0.00606278,-0.00312972,0.0129053,-0.00606278,-0.00312972,0.0129053
8,0,0,0,0.00724515,0.0270072,0.0372572,0.00724515,0.0270072,0.0372572
9,0,0,0,-0.0219135,0.0427048,0.0808653,-0.0219135,0.0427048,0.0808653
10,0,0,0,0.00405076,-0.0617926,0.0309238,0.00405076,-0.0617926,0.0309238
11,0,0,0,0.0265664,0.0025534,0.0337375,0.0265664,0.0025534,0.0337375
12,0,0,0,0.0193826,-0.00181409,0.0232108,0.0193826,-0.00181409,0.0232108
13,0,0,0,-0.00968439,-0.0458415,0.018242,-0.00968439,-0.0458415,0.018242
14,0,0,0,0.00223319,-0.0105319,0.0103178,0.00223319,-0.0105319,0.0103178
15,0,0,0,-0.00942553,0.000214345,0.0109132,-0.00942553,0.000214345,0.0109132
16,0,0,0,-0.0130235,-0.0355629,0.0289477,-0.0130235,-0.0355629,0.0289477
17,0,0,0,0.00723677,0.00463759,0.0193343,0.00723677,0.00463759,0.0193343
18,0,0,0,-0.0193673,-0.0172167,0.0315032,-0.0193673,-0.0172167,0.0315032
19,0,0,0,0.00991636,0.0249069,0.0331377,0.00991636,0.0249069,0.0331377
20,0,0,0,-0.0126377,-0.0457191,0.0431262,-0.0126377,-0.0457191,0.0431262
21,0,0,0,0.0698717,0.00653694,0.0850362,0.0698717,0.00653694,0.0850362
22,0,0,0,0.016201,0.00161599,0.0134415,0.016201,0.00161599,0.0134415
23,0,0,0,-0.00142334,-0.0385526,0.0338882,-0.00142334,-0.0385526,0.0338882
24,0,0,0,0.00821781,0.0170204,0.0419096,0.00821781,0.0170204,0.0419096
25,0,0,0,0.00312294,0.0657445,0.0943807,0.00312294,0.0657445,0.0943807
26,0,0,0,-0.0113084,0.00938851,0.0208957,-0.0113084,0.00938851,0.0208957
27,0,0,0,0.00310027,-0.0281119,0.0325686,0.00310027,-0.0281119,0.0325686
28,0,0,0,0.0381746,0.0093362,0.0451258,0.0381746,0.0093362,0.0451258
29,0,0,0,-0.00120426,-0.034248,0.0443934,-0.00120426,-0.034248,0.0443934
30,0,0,0,-0.00223952,-0.0481829,0.0690578,-0.00223952,-0.0481829,0.0690578
31,0,0,0,-0.00234791,-0.0246735,0.0416312,-0.00234791,-0.0246735,0.0416312
32,0,0,0,-0.032892,-0.027025,0.0313844,-0.032892,-0.027025,0.0313844
33,0,0,0,-0.00944922,-0.0480719,0.058148,-0.00944922,-0.0480719,0.058148
34,0,0,0,-0.000958195,0.0196246,0.0280664,-0.000958195,0.0196246,0.0280664
35,0,0,0,-0.0142468,0.00837294,0.0238134,-0.0142468,0.00837294,0.0238134
36,0,0,0,-0.0205457,0.0236065,0.046322,-0.0205457,0.0236065,0.046322
37,0,0,0,0.00530297,-0.00942604,0.00899113,0.00530297,-0.00942604,0.00899113
38,0,0,0,-0.00182604,0.0518578,0.0706109,-0.00182604,0.0518578,0.0706109
39,0,0,0,0.0241023,-0.0579155,0.0258662,0.0241023,-0.0579155,0.0258662
40,0,0,0,-0.00970758,-0.0543963,0.0368531,-0.00970758,-0.0543963,0.0368531
41,0,0,0,-0.00160063,0.0397424,0.0807936,-0.00160063,0.0397424,0.0807936
42,0,0,0,0.0311166,-0.0140559,0.0112831,0.0311166,-0.0140559,0.0112831
43,0,0,0,-0.0589966,-0.027308,0.0270314,-0.0589966,-0.027308,0.0270314
44,0,0,0,-0.00132606,-0.0285473,0.0239966,-0.00132606,-0.0285473,0.0239966
45,0,0,0,0.0780239,0.0083779,0.0661082,0.0780239,0.0083779,0.0661082
46,0,0,0,-0.0576554,0.0156222,0.0464862,-0.0576554,0.0156222,0.0464862
47,0,0,0,0.0417592,0.00720082,0.0546734,0.0417592,0.00720082,0.0546734
48,0,0,0,0.0353757,0.00233228,0.0185474,0.0353757,0.00233228,0.0185474
49,0,0,0,-0.0483136,0.00257685,0.0281778,-0.0483136,0.00257685,0.0281778
50,0,0,0,-0.0167767,-0.0360761,0.00396938,-0.0167767,-0.0360761,0.00396938
51,0,0,0,0.061423,0.00396805,0.0405923,0.061423,0.00396805,0.0405923
52,0,0,0,0.00493858,-0.0287196,0.0119055,0.00493858,-0.0287196,0.0119055
53,0,0,0,-0.0044228,0.00670435,0.0190874,-0.0044228,0.00670435,0.0190874
54,0,0,0,-0.00267406,0.00880153,0.0134506,-0.00267406,0.00880153,0.0134506
55,0,0,0,-0.0110463,-0.0658318,0.00164907,-0.0110463,-0.0658318,0.00164907
56,0,0,0,0.0140414,0.0349892,0.0502693,0.0140414,0.0349892,0.0502693
57,0,0,0,-0.00964577,-0.0135472,0.00375008,-0.00964577,-0.0135472,0.00375008
58,0,0,0,-0.013155,0.0184963,0.0476434,-0.013155,0.0184963,0.0476434
59,0,0,0,0.0112655,-0.0401154,-0.00345243,0.0112655,-0.0401154,-0.00345243
60,0,0,0,-0.00614954,0.0517477,0.0620302,-0.00614954,0.0517477,0.0620302
61,0,0,0,0.00772564,0.0467122,0.0646174,0.00772564,0.0467122,0.0646174
62,0,0,0,0.0658343,-0.00228792,0.0408275,0.0658343,-0.00228792,0.0408275
63,0,0,0,0.0271146,0.0190814,0.0307291,0.0271146,0.0190814,0.0307291
64,0,0,0,0.0403021,-0.0602985,0.0163543,0.0403021,-0.0602985,0.0163543
65,0,0,0,-0.00520328,0.0125139,0.0211784,-0.00520328,0.0125139,0.0211784
66,0,0,0,0.0606016,-0.0286365,0.0489148,0.0606016,-0.0286365,0.0489148
67,0,0,0,0.05978,0.00242872,0.0339889,0.05978,0.00242872,0.0339889
68,0,0,0,0.0507046,-0.0502638,0.0452919,0.0507046,-0.0502638,0.0452919
69,0,0,0,0.00237328,-0.0596105,-0.00398785,0.00237328,-0.0596105,-0.00398785
70,0,0,0,-0.0160939,0.0296104,0.0369136,-0.0160939,0.0296104,0.0369136
71,0,0,0,0.00573098,0.00521449,0.00678423,0.00573098,0.00521449,0.00678423
72,0,0,0,-0.0352632,-0.0214151,0.0402661,-0.0352632,-0.0214151,0.0402661
73,0,0,0,0.00761231,0.0129901,0.0105883,0.00761231,0.0129901,0.0105883
74,0,0,0,0.00616819,-0.0264933,-0.000375178,0.00616819,-0.0264933,-0.000375178
75,0,0,0,-0.0393801,-0.00422607,0.0572175,-0.0393801,-0.00422607,0.0572175
76,0,0,0,0.00854977,-0.0312747,-0.00236516,0.00854977,-0.0312747,-0.00236516
77,0,0,0,-0.0182022,-0.0320205,-0.00282408,-0.0182022,-0.0320205,-0.00282408
78,0,0,0,0.00645737,0.0560112,0.0678979,0.00645737,0.0560112,0.0678979
79,0,0,0,0.0382893,-0.00743744,0.0407708,0.0382893,-0.00743744,0.0407708
80,0,0,0,0.0510109,0.00870175,0.0501895,0.0510109,0.00870175,0.0501895
81,0,0,0,0.0309195,-0.0540138,0.022108,0.0309195,-0.0540138,0.022108
82,0,0,0,-0.00455153,-0.00403031,0.00140454,-0.00455153,-0.00403031,0.00140454
83,0,0,0,-0.0596287,0.0129475,0.0845409,-0.0596287,0.0129475,0.0845409
84,0,0,0,0.0245054,-0.00951825,0.0449087,0.0245054,-0.00951825,0.0449087
85,0,0,0,0.0179494,-0.0542587,-0.00204121,0.0179494,-0.0542587,-0.00204121
86,0,0,0,0.0351236,0.00717921,0.0586361,0.0351236,0.00717921,0.0586361
87,0,0,0,-0.019126,-0.0528363,-0.00431496,-0.019126,-0.0528363,-0.00431496
88,0,0,0,0.0386271,-0.00986498,0.0465089,0.0386271,-0.00986498,0.0465089
89,0,0,0,-0.0382539,-0.0414848,0.0380395,-0.0382539,-0.0414848,0.0380395
90,0,0,0,-0.0318481,0.002059,0.0632059,-0.0318481,0.002059,0.0632059
91,0,0,0,-0.00873551,-0.0624637,-0.00313704,-0.00873551,-0.0624637,-0.00313704
92,0,0,0,-0.0468516,0.0288776,0.0451056,-0.0468516,0.0288776,0.0451056
93,0,0,0,0.038459,0.000161951,0.038919,0.038459,0.000161951,0.038919
94,0,0,0,0.023509,-0.0230141,0.00724636,0.023509,-0.0230141,0.00724636
95,0,0,0,-0.0298953,-0.046948,-0.0007683,-0.0298953,-0.046948,-0.0007683
96,0,0,0,0.0332812,0.0265656,0.0150819,0.0332812,0.0265656,0.0150819
97,0,0,0,-0.0290951,-0.0108986,0.0488825,-0.0290951,-0.0108986,0.0488825
