vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,0.0112644,-0.00455244,-0.0185993,0.0112644,-0.00455244,-0.0185993
1,0,0,0,0.00756106,-0.0220662,-0.0181616,0.00756106,-0.0220662,-0.0181616
2,0,0,0,0.00776089,0.00549817,-0.0130139,0.00776089,0.00549817,-0.0130139
3,0,0,0,0.00648526,-0.00327056,-0.00500989,0.00648526,-0.00327056,-0.00500989
4,0,0,0,0.0185068,-0.00118396,-0.00600525,0.0185068,-0.00118396,-0.00600525
5,0,0,0,0.00616468,-0.00759659,-0.0036709,0.00616468,-0.00759659,-0.0036709
6,0,0,0,0.00199122,0.00218108,-0.00842818,0.00199122,0.00218108,-0.00842818
7,0,0,0,0.00212183,-0.00448517,-0.0107995,0.00212183,-0.00448517,-0.0107995
8,0,0,0,0.00944614,-0.0315021,-0.00498914,0.00944614,-0.0315021,-0.00498914
9,0,0,0,0.00311938,-0.0696012,-0.0377176,0.00311938,-0.0696012,-0.0377176
10,0,0,0,0.0175857,0.0133686,-0.0206077,0.0175857,0.0133686,-0.0206077
11,0,0,0,0.0145138,-0.0088597,-0.00170817,0.0145138,-0.0088597,-0.00170817
12,0,0,0,0.0117182,-0.00596587,-0.00191319,0.0117182,-0.00596587,-0.00191319
13,0,0,0,0.0108876,0.0159997,-0.0245703,0.0108876,0.0159997,-0.0245703
14,0,0,0,0.00402422,0.000366416,-0.00368827,0.00402422,0.000366416,-0.00368827
15,0,0,0,-0.00235216,-0.00693072,-0.0126055,-0.00235216,-0.00693072,-0.0126055
16,0,0,0,0.0145076,0.00964518,-0.0391214,0.0145076,0.00964518,-0.0391214
17,0,0,0,0.00446013,-0.00542559,-0.00198124,0.00446013,-0.00542559,-0.00198124
18,0,0,0,0.00450993,-0.0051901,-0.0399635,0.00450993,-0.0051901,-0.0399635
19,0,0,0,0.00967614,-0.0274225,-0.00267126,0.00967614,-0.0274225,-0.00267126
20,0,0,0,0.0182154,0.00693292,-0.039605,0.0182154,0.00693292,-0.039605
21,0,0,0,0.0415046,-0.0281556,-0.00542466,0.0415046,-0.0281556,-0.00542466
22,0,0,0,0.00593008,-0.00337824,0.000430086,0.00593008,-0.00337824,0.000430086
23,0,0,0,0.0130298,0.00420958,-0.0185761,0.0130298,0.00420958,-0.0185761
24,0,0,0,0.0115722,-0.0243207,-0.00860654,0.0115722,-0.0243207,-0.00860654
25,0,0,0,0.0191504,-0.0939992,-0.0237776,0.0191504,-0.0939992,-0.0237776
