vtx,x,y,z
0,0.0810782,0.133435,0.0534296
1,0.0822722,0.127807,0.0522172
2,0.0772653,0.136634,0.0554466
3,0.0711838,0.135308,0.0546558
4,0.0680155,0.135986,0.0561136
5,0.0718782,0.126998,0.0537609
6,0.0920043,0.134012,0.0572225
7,0.0920139,0.131607,0.0557988
8,0.0732742,0.124484,0.0543075
9,0.0855954,0.122852,0.0544403
10,0.0734873,0.137717,0.0628612
11,0.0588284,0.127594,0.066181
12,0.0633397,0.13259,0.0601866
13,0.0850888,0.136321,0.0620336
14,0.0621286,0.13468,0.06253
15,0.103012,0.127083,0.0605091
16,0.0983977,0.132099,0.0631949
17,0.0563486,0.133643,0.0616085
18,0.103055,0.132698,0.0634804
19,0.0702151,0.119977,0.0590651
20,0.0889602,0.137241,0.0652888
21,0.0606011,0.120517,0.0627307
22,0.0539005,0.134521,0.0635464
23,0.0781685,0.141134,0.0670424
24,0.0612833,0.112775,0.0643057
25,0.0768218,0.116802,0.0619049
26,0.0985033,0.120958,0.0622379
27,0.0651083,0.147939,0.0723619
28,0.0548173,0.12532,0.0683747
29,0.0675736,0.143082,0.0702395
30,0.0919629,0.142161,0.0705373
31,0.080195,0.14808,0.074153
32,0.104724,0.141914,0.0708181
33,0.0988954,0.145688,0.071367
34,0.0862928,0.116335,0.0605357
35,0.0988438,0.109152,0.0660419
36,0.0914207,0.120208,0.0588265
37,0.0584805,0.14283,0.068797
38,0.0841709,0.101271,0.0698188
39,0.0635042,0.151271,0.0774545
40,0.088459,0.152122,0.0761407
41,0.093654,0.109836,0.0646555
42,0.0536527,0.138766,0.0719325
43,0.113078,0.13661,0.082125
44,0.0783248,0.15317,0.0761715
45,0.0546616,0.11973,0.0697885
46,0.104534,0.118016,0.0690873
47,0.0562494,0.110797,0.0670231
48,0.0523918,0.12896,0.0693959
49,0.10763,0.129051,0.0717404
50,0.0978738,0.150524,0.0801664
51,0.0492338,0.121149,0.0759535
52,0.0721489,0.153858,0.0786075
53,0.0597258,0.100854,0.0686088
54,0.0570709,0.0937464,0.0700452
55,0.0856753,0.155634,0.0837204
56,0.0909229,0.102016,0.0696231
57,0.103276,0.147401,0.0792687
58,0.0969994,0.0916929,0.070331
59,0.0674936,0.153507,0.086486
60,0.0787693,0.092467,0.0763506
61,0.0739546,0.101227,0.0702522
62,0.04915,0.109525,0.0768582
63,0.0945594,0.0909229,0.0707672
64,0.0576248,0.149785,0.0817451
65,0.0638272,0.105304,0.0689128
66,0.0476919,0.133862,0.0842141
67,0.0483965,0.0987836,0.0763167
68,0.0484156,0.139498,0.0881461
69,0.0732039,0.1532,0.0928142
70,0.0629372,0.0957553,0.0748131
71,0.0510028,0.0926235,0.0735053
72,0.115107,0.130722,0.0832201
73,0.0896795,0.0934195,0.0780902
74,0.062439,0.149429,0.0893643
75,0.113013,0.121986,0.0795851
76,0.0682013,0.15228,0.0946004
77,0.0992637,0.148702,0.0895027
78,0.0693539,0.0965936,0.0750319
79,0.0468981,0.126784,0.0827016
80,0.0456261,0.115211,0.0839846
81,0.0503694,0.143775,0.0929787
82,0.10776,0.1438,0.0790477
83,0.111758,0.112878,0.0790964
84,0.038833,0.129955,0.0866411
85,0.0566614,0.148404,0.0923309
86,0.0355645,0.118878,0.0878186
87,0.0942839,0.150235,0.0921579
88,0.0333276,0.127843,0.0897069
89,0.115892,0.13744,0.0892955
90,0.124736,0.113833,0.0828294
91,0.0846773,0.151701,0.094024
92,0.102347,0.0904523,0.0737571
93,0.0270548,0.119173,0.0954094
94,0.0540549,0.147601,0.0845437
95,0.103344,0.144413,0.0885932
96,0.0941881,0.0870787,0.0750356
97,0.127467,0.120188,0.0849378
98,0.0595875,0.0896587,0.0811719
99,0.0403423,0.142106,0.0934164
100,0.0974792,0.0855752,0.0742634
101,0.0545043,0.088255,0.0781165
102,0.0880851,0.0906356,0.0820198
103,0.0372075,0.137452,0.0906763
104,0.132149,0.129785,0.0925096
105,0.113105,0.102031,0.082988
106,0.0344056,0.137117,0.0927926
107,0.0647609,0.0884341,0.0831048
108,0.111097,0.141408,0.0888806
109,0.0983696,0.0800148,0.0885648
110,0.0813941,0.0842473,0.0830978
111,0.0446813,0.107898,0.086765
112,0.122861,0.107277,0.0830507
113,0.054633,0.147119,0.0993633
114,0.106805,0.14414,0.0987599
115,0.0536095,0.0873504,0.0863278
116,0.0930223,0.0882502,0.0845434
117,0.0422462,0.15101,0.104166
118,0.115554,0.140405,0.0934361
119,0.0688653,0.0834321,0.0849264
120,0.13033,0.136496,0.0987327
121,0.0444001,0.0966793,0.0862253
122,0.0418789,0.10178,0.0919182
123,0.0275782,0.109662,0.0963382
124,0.102832,0.1461,0.098395
125,0.138511,0.116974,0.0941789
126,0.0587257,0.0897103,0.0891058
127,0.107669,0.10273,0.0776021
128,0.0498907,0.0892427,0.0822233
129,0.132574,0.114091,0.0895766
130,0.0254884,0.130402,0.099397
131,0.0281245,0.13597,0.101636
132,0.0770764,0.154079,0.108974
133,0.0945603,0.151883,0.108425
134,0.101804,0.0825225,0.0846037
135,0.141201,0.102873,0.098115
136,0.0355717,0.148768,0.100914
137,0.0764602,0.0815862,0.0886931
138,0.107058,0.087857,0.0843297
139,0.124709,0.093961,0.0906716
140,0.091735,0.0840792,0.0889527
141,0.0602036,0.0865107,0.0920876
142,0.032044,0.14441,0.102891
143,0.0502196,0.0842062,0.0901704
144,0.0836033,0.0785613,0.0897029
145,0.0643695,0.0779675,0.0934498
146,0.114263,0.0896534,0.0910343
147,0.0372679,0.151592,0.112482
148,0.0541543,0.0809787,0.0972906
149,0.119818,0.0891416,0.0931562
150,0.0218303,0.136687,0.109839
151,0.0297065,0.145573,0.114632
152,0.104334,0.1446,0.110982
153,0.124775,0.142992,0.107183
154,0.130979,0.100071,0.0924363
155,0.0190684,0.122253,0.106344
156,0.0873981,0.152553,0.119644
157,0.0411761,0.152622,0.111847
158,0.041999,0.0954368,0.0964591
159,0.0950915,0.0810448,0.0919983
160,0.0288183,0.139024,0.109665
161,0.0529231,0.150644,0.121332
162,0.0551363,0.150542,0.113649
163,0.111606,0.0835178,0.0953278
164,0.0202556,0.124443,0.10209
165,0.0321753,0.148628,0.124112
166,0.0620127,0.14885,0.107605
167,0.0460634,0.0780803,0.0971466
168,0.100739,0.146667,0.115878
169,0.0952793,0.0739477,0.100271
170,0.0895035,0.0714071,0.0988269
171,0.138478,0.131947,0.106825
172,0.101558,0.0739392,0.0946421
173,0.0704808,0.0745558,0.105531
174,0.0447389,0.0874149,0.0929599
175,0.141518,0.0986091,0.10135
176,0.142491,0.113812,0.100762
177,0.142725,0.123385,0.11012
178,0.0678542,0.151155,0.116236
179,0.114205,0.146027,0.114619
180,0.0937012,0.150125,0.119614
181,0.0364856,0.0899797,0.103937
182,0.11831,0.084519,0.0986552
183,0.109058,0.0712887,0.103706
184,0.132604,0.139822,0.11068
185,0.068788,0.150465,0.123312
186,0.0601501,0.153017,0.117746
187,0.0853663,0.0737547,0.0953312
188,0.0519764,0.0765854,0.104338
189,0.0413645,0.0776007,0.102434
190,0.135276,0.0951425,0.103088
191,0.0825315,0.0754909,0.0998753
192,0.112878,0.0820787,0.104536
193,0.142517,0.12855,0.114166
194,0.0570281,0.0720268,0.102774
195,0.109417,0.0777223,0.0992885
196,0.0343001,0.0942455,0.102806
197,0.131462,0.0902053,0.0998475
198,0.104683,0.0672273,0.106163
