vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.019129,0.0345877,-0.00325868,-0.019129,0.0345877,-0.00325868
1,0,0,0,0.000428156,0.0388825,0.0131914,0.000428156,0.0388825,0.0131914
2,0,0,0,-0.0233115,0.0179831,-0.0156817,-0.0233115,0.0179831,-0.0156817
3,0,0,0,-0.0117658,0.014619,0.00479844,-0.0117658,0.014619,0.00479844
4,0,0,0,-0.0431928,0.0197513,0.0122005,-0.0431928,0.0197513,0.0122005
5,0,0,0,-0.00490134,0.0120161,0.00883242,-0.00490134,0.0120161,0.00883242
6,0,0,0,-0.00687488,0.00891162,-0.00829085,-0.00687488,0.00891162,-0.00829085
7,0,0,0,-0.00282695,0.0164938,-0.00275601,-0.00282695,0.0164938,-0.00275601
8,0,0,0,0.000412865,0.0161673,0.0149304,0.000412865,0.0161673,0.0149304
9,0,0,0,0.00951219,0.0468377,0.0125836,0.00951219,0.0468377,0.0125836
10,0,0,0,-0.0664361,0.0367955,-0.0340851,-0.0664361,0.0367955,-0.0340851
11,0,0,0,-0.0153607,0.0156675,0.0216686,-0.0153607,0.0156675,0.0216686
12,0,0,0,-0.0208359,0.0154808,0.0201601,-0.0208359,0.0154808,0.0201601
13,0,0,0,-0.0394396,0.0274316,-0.0377041,-0.0394396,0.0274316,-0.0377041
14,0,0,0,-0.0135454,0.0100035,-0.00263732,-0.0135454,0.0100035,-0.00263732
15,0,0,0,-0.000784408,0.000611486,-0.000171383,-0.000784408,0.000611486,-0.000171383
16,0,0,0,-0.0079995,0.00786422,-0.00994546,-0.0079995,0.00786422,-0.00994546
17,0,0,0,-0.00658748,0.0145267,0.012928,-0.00658748,0.0145267,0.012928
18,0,0,0,-0.00139221,0.00204554,-0.000902364,-0.00139221,0.00204554,-0.000902364
19,0,0,0,0.000554298,0.00903226,0.0117821,0.000554298,0.00903226,0.0117821
20,0,0,0,-0.0437552,0.0572643,-0.0316808,-0.0437552,0.0572643,-0.0316808
21,0,0,0,-0.0376647,0.0337985,0.0501826,-0.0376647,0.0337985,0.0501826
22,0,0,0,-0.0128463,0.00608125,0.0152993,-0.0128463,0.00608125,0.0152993
23,0,0,0,-0.0445346,0.0427449,-0.0202381,-0.0445346,0.0427449,-0.0202381
24,0,0,0,-0.00150647,0.027402,0.0231475,-0.00150647,0.027402,0.0231475
25,0,0,0,0.0047627,0.0165313,0.0125523,0.0047627,0.0165313,0.0125523
26,0,0,0,-0.000367378,0.00134072,0.000265085,-0.000367378,0.00134072,0.000265085
27,0,0,0,-0.0400609,0.0405463,-0.00874395,-0.0400609,0.0405463,-0.00874395
28,0,0,0,-0.0193082,0.0199504,0.0337797,-0.0193082,0.0199504,0.0337797
29,0,0,0,-0.0432771,0.0550642,-0.0124711,-0.0432771,0.0550642,-0.0124711
30,0,0,0,-0.0615328,0.0847419,-0.0158823,-0.0615328,0.0847419,-0.0158823
31,0,0,0,-0.0358514,0.0565842,-0.0073931,-0.0358514,0.0565842,-0.0073931
32,0,0,0,-0.00919595,0.0262114,-0.020278,-0.00919595,0.0262114,-0.020278
33,0,0,0,-0.049765,0.0694949,-0.0241274,-0.049765,0.0694949,-0.0241274
34,0,0,0,-0.00055092,0.000993682,0.000925285,-0.00055092,0.000993682,0.000925285
35,0,0,0,0.00470473,0.013603,0.000751087,0.00470473,0.013603,0.000751087
36,0,0,0,0.00162902,0.00690405,0.00107689,0.00162902,0.00690405,0.00107689
37,0,0,0,-0.0159357,0.00818966,5.53501e-05,-0.0159357,0.00818966,5.53501e-05
38,0,0,0,0.0239864,0.0540926,0.0472197,0.0239864,0.0540926,0.0472197
39,0,0,0,-0.0841363,0.024611,-0.0184339,-0.0841363,0.024611,-0.0184339
40,0,0,0,-0.0580591,0.0558535,-0.042851,-0.0580591,0.0558535,-0.042851
41,0,0,0,0.0022602,0.0223983,0.0138834,0.0022602,0.0223983,0.0138834
42,0,0,0,-0.0374128,-0.000122157,0.0169052,-0.0374128,-0.000122157,0.0169052
43,0,0,0,0.00279857,0.0218491,-0.0278612,0.00279857,0.0218491,-0.0278612
44,0,0,0,-0.036262,0.0339734,-0.0174799,-0.036262,0.0339734,-0.0174799
45,0,0,0,-0.0419212,0.0239376,0.0580384,-0.0419212,0.0239376,0.0580384
46,0,0,0,0.00259328,0.00574839,-0.00120262,0.00259328,0.00574839,-0.00120262
47,0,0,0,-0.0271173,0.0290316,0.0412591,-0.0271173,0.0290316,0.0412591
48,0,0,0,-0.0225128,0.00311669,0.0268938,-0.0225128,0.00311669,0.0268938
49,0,0,0,0.000976373,0.00310748,-0.00174555,0.000976373,0.00310748,-0.00174555
50,0,0,0,-0.0240643,0.0154528,-0.0451904,-0.0240643,0.0154528,-0.0451904
51,0,0,0,-0.0359731,0.0121515,0.0453572,-0.0359731,0.0121515,0.0453572
52,0,0,0,-0.0384094,0.0150424,-0.0166082,-0.0384094,0.0150424,-0.0166082
53,0,0,0,0.00276848,0.0183339,0.00694242,0.00276848,0.0183339,0.00694242
54,0,0,0,0.00479398,0.0135959,0.00859096,0.00479398,0.0135959,0.00859096
55,0,0,0,-0.0588121,0.0127601,-0.0683432,-0.0588121,0.0127601,-0.0683432
56,0,0,0,0.00635121,0.0383097,0.047817,0.00635121,0.0383097,0.047817
57,0,0,0,-0.00720068,0.00919912,-0.0177238,-0.00720068,0.00919912,-0.0177238
58,0,0,0,0.0132365,0.0516095,0.0192231,0.0132365,0.0516095,0.0192231
59,0,0,0,-0.0496074,-0.00650971,-0.0264958,-0.0496074,-0.00650971,-0.0264958
60,0,0,0,0.0334192,0.062631,0.0539339,0.0334192,0.062631,0.0539339
61,0,0,0,0.0163179,0.0515854,0.0537004,0.0163179,0.0515854,0.0537004
62,0,0,0,-0.0475228,0.0130151,0.0508043,-0.0475228,0.0130151,0.0508043
63,0,0,0,-0.0107393,0.0189931,0.0438992,-0.0107393,0.0189931,0.0438992
64,0,0,0,-0.0937897,0.00537379,-0.00964385,-0.0937897,0.00537379,-0.00964385
65,0,0,0,0.00647849,0.0183647,0.00978007,0.00647849,0.0183647,0.00978007
66,0,0,0,-0.0726905,0.0261953,0.0383433,-0.0726905,0.0261953,0.0383433
67,0,0,0,-0.0449385,0.0101417,0.0548161,-0.0449385,0.0101417,0.0548161
68,0,0,0,-0.0876902,0.0298162,0.0168268,-0.0876902,0.0298162,0.0168268
69,0,0,0,-0.0610259,-0.00133026,-0.0515095,-0.0610259,-0.00133026,-0.0515095
70,0,0,0,0.025835,0.0404636,0.0208204,0.025835,0.0404636,0.0208204
71,0,0,0,-0.00241993,0.00409313,0.010195,-0.00241993,0.00409313,0.010195
72,0,0,0,-0.000293391,0.00819433,-0.00528946,-0.000293391,0.00819433,-0.00528946
73,0,0,0,0.00186116,0.00665156,0.0183259,0.00186116,0.00665156,0.0183259
74,0,0,0,-0.0311022,-0.00137406,-0.0169164,-0.0311022,-0.00137406,-0.0169164
75,0,0,0,-0.000237302,0.00514744,-0.000850363,-0.000237302,0.00514744,-0.000850363
76,0,0,0,-0.0382107,-0.0045023,-0.0203454,-0.0382107,-0.0045023,-0.0203454
77,0,0,0,-0.0173213,0.00755337,-0.0461575,-0.0173213,0.00755337,-0.0461575
78,0,0,0,0.0260392,0.0612687,0.0660043,0.0260392,0.0612687,0.0660043
79,0,0,0,-0.035198,0.0227567,0.0300845,-0.035198,0.0227567,0.0300845
80,0,0,0,-0.0320673,0.0249387,0.0495301,-0.0320673,0.0249387,0.0495301
81,0,0,0,-0.0755923,0.014766,-0.0090321,-0.0755923,0.014766,-0.0090321
82,0,0,0,-0.00176963,0.0029726,-0.00552318,-0.00176963,0.0029726,-0.00552318
83,0,0,0,0.0075171,0.0289478,0.000832423,0.0075171,0.0289478,0.000832423
84,0,0,0,-0.0289084,0.0302851,0.0211547,-0.0289084,0.0302851,0.0211547
85,0,0,0,-0.0649417,-0.0062713,-0.0300129,-0.0649417,-0.0062713,-0.0300129
86,0,0,0,-0.0244416,0.0355227,0.0391903,-0.0244416,0.0355227,0.0391903
87,0,0,0,-0.0370118,0.00798271,-0.0663034,-0.0370118,0.00798271,-0.0663034
88,0,0,0,-0.0357939,0.0260913,0.0287616,-0.0357939,0.0260913,0.0287616
89,0,0,0,-0.00561923,0.0172524,-0.0170327,-0.00561923,0.0172524,-0.0170327
90,0,0,0,0.00530428,0.0385051,-0.000834002,0.00530428,0.0385051,-0.000834002
91,0,0,0,-0.0553544,0.00530774,-0.0643897,-0.0553544,0.00530774,-0.0643897
92,0,0,0,0.044763,0.060728,0.000784562,0.044763,0.060728,0.000784562
93,0,0,0,-0.0268645,0.0187415,0.0314156,-0.0268645,0.0187415,0.0314156
94,0,0,0,-0.0420606,-0.000455754,0.00356111,-0.0420606,-0.000455754,0.00356111
95,0,0,0,-0.0209382,0.0161777,-0.0653709,-0.0209382,0.0161777,-0.0653709
96,0,0,0,-0.00592671,0.000316237,0.0485463,-0.00592671,0.000316237,0.0485463
97,0,0,0,0.00143911,0.0213488,-0.00467648,0.00143911,0.0213488,-0.00467648
98,0,0,0,0.0588419,0.0232614,0.0408688,0.0588419,0.0232614,0.0408688
99,0,0,0,-0.059617,0.0450332,-0.00146631,-0.059617,0.0450332,-0.00146631
100,0,0,0,0.0119055,0.00854007,0.020188,0.0119055,0.00854007,0.020188
101,0,0,0,0.0380485,0.0158454,0.0450556,0.0380485,0.0158454,0.0450556
102,0,0,0,0.0123895,0.0175873,0.0173828,0.0123895,0.0175873,0.0173828
103,0,0,0,-0.0408693,0.0300797,0.00922945,-0.0408693,0.0300797,0.00922945
104,0,0,0,-0.00854604,0.0833558,-0.0615887,-0.00854604,0.0833558,-0.0615887
105,0,0,0,0.0213345,0.0431169,0.00776741,0.0213345,0.0431169,0.00776741
106,0,0,0,-0.016993,0.0084424,0.00723605,-0.016993,0.0084424,0.00723605
107,0,0,0,0.0158436,0.0291271,0.06142,0.0158436,0.0291271,0.06142
108,0,0,0,-0.017838,0.0171245,-0.0432873,-0.017838,0.0171245,-0.0432873
109,0,0,0,0.0080068,0.0101724,0.0450033,0.0080068,0.0101724,0.0450033
110,0,0,0,0.0415352,0.0573925,0.0494865,0.0415352,0.0573925,0.0494865
111,0,0,0,-0.0373765,0.0224297,0.0590628,-0.0373765,0.0224297,0.0590628
112,0,0,0,0.0135194,0.0423302,0.00646304,0.0135194,0.0423302,0.00646304
113,0,0,0,-0.0972872,0.0208042,-0.0519458,-0.0972872,0.0208042,-0.0519458
114,0,0,0,-0.0173646,0.0068384,-0.0237298,-0.0173646,0.0068384,-0.0237298
115,0,0,0,0.0180496,0.00776528,0.0113049,0.0180496,0.00776528,0.0113049
116,0,0,0,0.00437224,0.00312485,0.0412082,0.00437224,0.00312485,0.0412082
117,0,0,0,-0.0619324,0.0311621,-0.0381185,-0.0619324,0.0311621,-0.0381185
118,0,0,0,-0.0171163,0.0159798,-0.0249634,-0.0171163,0.0159798,-0.0249634
119,0,0,0,0.0306718,0.0528721,0.0805955,0.0306718,0.0528721,0.0805955
120,0,0,0,-0.0144437,0.0466378,-0.0528698,-0.0144437,0.0466378,-0.0528698
121,0,0,0,-0.0390843,-0.0011915,0.0628528,-0.0390843,-0.0011915,0.0628528
122,0,0,0,-0.0320359,0.0309495,0.0943776,-0.0320359,0.0309495,0.0943776
123,0,0,0,-0.0142938,0.0163725,0.0389707,-0.0142938,0.0163725,0.0389707
124,0,0,0,-0.00451998,0.00127699,-0.00839567,-0.00451998,0.00127699,-0.00839567
125,0,0,0,0.0428848,0.124483,-0.0695772,0.0428848,0.124483,-0.0695772
126,0,0,0,0.0134419,0.0078478,0.0210559,0.0134419,0.0078478,0.0210559
127,0,0,0,0.0396186,0.0647253,-0.01258,0.0396186,0.0647253,-0.01258
128,0,0,0,0.00235633,0.00180654,0.0591797,0.00235633,0.00180654,0.0591797
129,0,0,0,0.0277685,0.074649,-0.00821825,0.0277685,0.074649,-0.00821825
130,0,0,0,-0.0595687,0.0231654,0.0302337,-0.0595687,0.0231654,0.0302337
131,0,0,0,-0.0794817,0.0111851,0.0253022,-0.0794817,0.0111851,0.0253022
132,0,0,0,-0.104355,0.00609211,-0.0883353,-0.104355,0.00609211,-0.0883353
133,0,0,0,-0.0435004,0.0135891,-0.0585148,-0.0435004,0.0135891,-0.0585148
134,0,0,0,0.0487574,0.0402949,0.0220139,0.0487574,0.0402949,0.0220139
135,0,0,0,0.0394865,0.0635101,-0.012776,0.0394865,0.0635101,-0.012776
136,0,0,0,-0.0699111,0.0204408,-0.00476284,-0.0699111,0.0204408,-0.00476284
137,0,0,0,0.00506149,0.00363389,0.00891398,0.00506149,0.00363389,0.00891398
138,0,0,0,0.0396411,0.0364054,0.00122971,0.0396411,0.0364054,0.00122971
139,0,0,0,0.0255923,0.0401707,0.0135192,0.0255923,0.0401707,0.0135192
140,0,0,0,0.0141967,0.0202629,0.0164252,0.0141967,0.0202629,0.0164252
141,0,0,0,0.00112756,0.0146376,0.0343982,0.00112756,0.0146376,0.0343982
142,0,0,0,-0.0746737,0.00297973,0.0299593,-0.0746737,0.00297973,0.0299593
143,0,0,0,0.011585,0.023235,0.046827,0.011585,0.023235,0.046827
144,0,0,0,0.0389769,0.0415413,0.0618357,0.0389769,0.0415413,0.0618357
145,0,0,0,0.0290583,0.0358202,0.0672556,0.0290583,0.0358202,0.0672556
146,0,0,0,0.0229575,0.0359962,0.0123954,0.0229575,0.0359962,0.0123954
147,0,0,0,-0.0405199,-9.88111e-05,-0.0113007,-0.0405199,-9.88111e-05,-0.0113007
148,0,0,0,0.0189362,0.0134708,0.0115539,0.0189362,0.0134708,0.0115539
149,0,0,0,0.0336748,0.0380451,0.0271046,0.0336748,0.0380451,0.0271046
150,0,0,0,-0.0180893,0.000239522,0.00266199,-0.0180893,0.000239522,0.00266199
151,0,0,0,-0.059649,-0.0032733,0.0164277,-0.059649,-0.0032733,0.0164277
152,0,0,0,-0.024742,0.00515485,-0.0271632,-0.024742,0.00515485,-0.0271632
153,0,0,0,-0.0251844,0.0150477,-0.0393179,-0.0251844,0.0150477,-0.0393179
154,0,0,0,0.0205671,0.0373522,0.00117046,0.0205671,0.0373522,0.00117046
155,0,0,0,-0.0100768,-0.00138531,0.00942796,-0.0100768,-0.00138531,0.00942796
156,0,0,0,-0.0594587,-0.00356136,-0.0741311,-0.0594587,-0.00356136,-0.0741311
157,0,0,0,-0.0205587,0.00213897,-0.0129067,-0.0205587,0.00213897,-0.0129067
158,0,0,0,-0.0149829,0.0118539,0.04179,-0.0149829,0.0118539,0.04179
159,0,0,0,0.00382288,0.0114787,0.0345744,0.00382288,0.0114787,0.0345744
160,0,0,0,-0.0418183,-0.000403697,0.0105537,-0.0418183,-0.000403697,0.0105537
161,0,0,0,-0.0637663,-0.000992494,-0.0491155,-0.0637663,-0.000992494,-0.0491155
162,0,0,0,-0.0497212,0.0115411,-0.0302879,-0.0497212,0.0115411,-0.0302879
163,0,0,0,0.012713,0.010465,0.00292958,0.012713,0.010465,0.00292958
164,0,0,0,-0.0351937,0.0119552,0.0299262,-0.0351937,0.0119552,0.0299262
165,0,0,0,-0.0372572,-0.0112964,-0.0122723,-0.0372572,-0.0112964,-0.0122723
166,0,0,0,-0.067351,0.00662182,-0.0367797,-0.067351,0.00662182,-0.0367797
167,0,0,0,0.00633056,0.0166569,0.0321419,0.00633056,0.0166569,0.0321419
