vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.00181337,-0.0140416,-0.00390424,-0.00181337,-0.0140416,-0.00390424
1,0,0,0,0.000143791,-0.000953818,0,0.000143791,-0.000953818,0
2,0,0,0,-0.00547985,-0.0122764,-0.0126682,-0.00547985,-0.0122764,-0.0126682
3,0,0,0,0.00298153,-0.0176029,-0.00365004,0.00298153,-0.0176029,-0.00365004
4,0,0,0,0.0188344,-0.0328727,-0.023483,0.0188344,-0.0328727,-0.023483
5,0,0,0,0.00524722,-0.0149916,0.00352943,0.00524722,-0.0149916,0.00352943
6,0,0,0,0.000117301,-0.000964589,-3.19151e-05,0.000117301,-0.000964589,-3.19151e-05
7,0,0,0,0.000143124,-0.000954869,-1.66021e-08,0.000143124,-0.000954869,-1.66021e-08
8,0,0,0,0.0149079,-0.0331328,0.0283654,0.0149079,-0.0331328,0.0283654
9,0,0,0,0.000143791,-0.000953818,0,0.000143791,-0.000953818,0
10,0,0,0,-0.0100798,-0.0341374,-0.0466667,-0.0100798,-0.0341374,-0.0466667
11,0,0,0,0.0253668,-0.0322565,0.000174076,0.0253668,-0.0322565,0.000174076
12,0,0,0,0.0187744,-0.0247141,-0.00374664,0.0187744,-0.0247141,-0.00374664
13,0,0,0,-0.00706768,-0.0102774,-0.0131376,-0.00706768,-0.0102774,-0.0131376
14,0,0,0,-0.000359535,-0.0125081,-0.00892956,-0.000359535,-0.0125081,-0.00892956
15,0,0,0,-0.00037196,-0.00151701,0.000225625,-0.00037196,-0.00151701,0.000225625
16,0,0,0,-0.00181014,-0.00476519,-0.00270482,-0.00181014,-0.00476519,-0.00270482
17,0,0,0,0.00829003,-0.0187621,0.00484102,0.00829003,-0.0187621,0.00484102
18,0,0,0,-0.00264781,-0.00495204,-0.000723821,-0.00264781,-0.00495204,-0.000723821
19,0,0,0,0.0165839,-0.028974,0.0248254,0.0165839,-0.028974,0.0248254
20,0,0,0,-0.00737523,-0.0171338,-0.0107915,-0.00737523,-0.0171338,-0.0107915
21,0,0,0,0.0667864,-0.0809186,0.000899665,0.0667864,-0.0809186,0.000899665
22,0,0,0,0.015423,-0.0137525,-0.00111688,0.015423,-0.0137525,-0.00111688
23,0,0,0,-0.00795845,-0.0299545,-0.0226932,-0.00795845,-0.0299545,-0.0226932
24,0,0,0,0.0132757,-0.037812,0.0196088,0.0132757,-0.037812,0.0196088
25,0,0,0,0.00950586,-0.0430735,0.0383703,0.00950586,-0.0430735,0.0383703
26,0,0,0,-0.000139312,-0.00159913,0.000549293,-0.000139312,-0.00159913,0.000549293
27,0,0,0,-0.00468132,-0.0448614,-0.0273147,-0.00468132,-0.0448614,-0.0273147
28,0,0,0,0.0371779,-0.0414815,0.00493148,0.0371779,-0.0414815,0.00493148
29,0,0,0,-0.00984699,-0.0507945,-0.0244271,-0.00984699,-0.0507945,-0.0244271
30,0,0,0,-0.00553005,-0.0388259,-0.0157411,-0.00553005,-0.0388259,-0.0157411
31,0,0,0,-0.00935843,-0.0538463,-0.0183255,-0.00935843,-0.0538463,-0.0183255
32,0,0,0,-0.0203431,-0.0182487,-0.0081759,-0.0203431,-0.0182487,-0.0081759
33,0,0,0,-0.0183745,-0.0419931,-0.0248881,-0.0183745,-0.0419931,-0.0248881
34,0,0,0,0.000735758,-0.00336276,0.0020123,0.000735758,-0.00336276,0.0020123
35,0,0,0,-0.000529063,-0.00226542,0.000952734,-0.000529063,-0.00226542,0.000952734
36,0,0,0,0.000130225,-0.00100512,3.53354e-05,0.000130225,-0.00100512,3.53354e-05
37,0,0,0,0.00288628,-0.0116462,-0.00938836,0.00288628,-0.0116462,-0.00938836
38,0,0,0,0.00118915,-0.00604037,0.00607356,0.00118915,-0.00604037,0.00607356
39,0,0,0,0.00928883,-0.0448799,-0.0711479,0.00928883,-0.0448799,-0.0711479
40,0,0,0,-0.0299257,-0.0566045,-0.0545662,-0.0299257,-0.0566045,-0.0545662
41,0,0,0,0.000741084,-0.00504592,0.00299038,0.000741084,-0.00504592,0.00299038
42,0,0,0,0.0253309,-0.0147968,-0.0198638,0.0253309,-0.0147968,-0.0198638
43,0,0,0,-0.0611263,-0.0279046,-0.00847807,-0.0611263,-0.0279046,-0.00847807
44,0,0,0,-0.0111276,-0.0375216,-0.0302654,-0.0111276,-0.0375216,-0.0302654
45,0,0,0,0.0724146,-0.0613182,-0.00270906,0.0724146,-0.0613182,-0.00270906
46,0,0,0,-0.00460443,-0.00475924,0.0034232,-0.00460443,-0.00475924,0.0034232
47,0,0,0,0.0419563,-0.0526051,0.00438722,0.0419563,-0.0526051,0.00438722
48,0,0,0,0.031958,-0.0181178,-0.00438774,0.031958,-0.0181178,-0.00438774
49,0,0,0,-0.00823251,-0.00585195,0.00352482,-0.00823251,-0.00585195,0.00352482
50,0,0,0,-0.0328103,-0.012639,-0.0370873,-0.0328103,-0.012639,-0.0370873
51,0,0,0,0.0552489,-0.0378898,-0.0059819,0.0552489,-0.0378898,-0.0059819
52,0,0,0,-0.0037185,-0.022683,-0.0353504,-0.0037185,-0.022683,-0.0353504
53,0,0,0,-0.00150827,-0.0142771,0.00805637,-0.00150827,-0.0142771,0.00805637
