sim_time,iter,tau_x_surface_com,tau_x_surface_center,tau_x_all_com,force_sum_x,force_sum_y,force_sum_z,ramp
0.5,240,1.34544,1.26514,1.34544,1.57575e-06,-3.95742e-06,4.65841,1
1,480,0.773471,-1.55779,0.773471,-3.38117e-06,2.20776e-06,15.7772,1
1.5,720,0.170344,0.300291,0.170344,8.2856e-06,-3.50873e-06,2.72345,1
