sim_time,iter,tau_x_surface_com,tau_x_surface_center,tau_x_all_com,force_sum_x,force_sum_y,force_sum_z,ramp
0.5,240,0.366411,0.373151,0.366411,-5.3033e-07,2.46917e-06,5.9564,1
1,480,0.404561,-1.16108,0.404561,2.07089e-06,2.29761e-06,11.6723,1
1.5,720,0.212569,0.0380702,0.212569,7.75221e-06,-1.73613e-06,11.1416,1
