vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.00268535,-0.00924565,0.0341916,-0.00268535,-0.00924565,0.0341916
1,0,0,0,0.000562737,0.0144808,0.0358026,0.000562737,0.0144808,0.0358026
2,0,0,0,-0.0060072,-0.0206487,0.0190482,-0.0060072,-0.0206487,0.0190482
3,0,0,0,0.00551183,-0.00270902,0.0160347,0.00551183,-0.00270902,0.0160347
4,0,0,0,0.0230384,-0.0220785,0.0297557,0.0230384,-0.0220785,0.0297557
5,0,0,0,0.0071694,0.0044444,0.013535,0.0071694,0.0044444,0.013535
6,0,0,0,-0.00521411,-0.0061761,0.00823453,-0.00521411,-0.0061761,0.00823453
7,0,0,0,-0.00465093,0.000830505,0.0146643,-0.00465093,0.000830505,0.0146643
8,0,0,0,0.0171509,0.0293422,0.0314884,0.0171509,0.0293422,0.0314884
9,0,0,0,-0.00399021,0.0591244,0.0758518,-0.00399021,0.0591244,0.0758518
10,0,0,0,-0.0066313,-0.0586542,0.0427108,-0.0066313,-0.0586542,0.0427108
11,0,0,0,0.0288154,0.00155403,0.0297061,0.0288154,0.00155403,0.0297061
12,0,0,0,0.0212463,-0.00238628,0.0217823,0.0212463,-0.00238628,0.0217823
13,0,0,0,-0.0187303,-0.0424464,0.0282462,-0.0187303,-0.0424464,0.0282462
14,0,0,0,0.0019764,-0.0083837,0.0115322,0.0019764,-0.0083837,0.0115322
15,0,0,0,-0.00829262,0.00518503,0.0131105,-0.00829262,0.00518503,0.0131105
16,0,0,0,-0.0198196,-0.031235,0.041197,-0.0198196,-0.031235,0.041197
17,0,0,0,0.0106012,0.00581278,0.0173449,0.0106012,0.00581278,0.0173449
18,0,0,0,-0.0239567,-0.00869788,0.0431072,-0.0239567,-0.00869788,0.0431072
19,0,0,0,0.0187237,0.0260097,0.0274226,0.0187237,0.0260097,0.0274226
20,0,0,0,-0.0210536,-0.0407118,0.0597537,-0.0210536,-0.0407118,0.0597537
21,0,0,0,0.0726912,0.00236188,0.0742934,0.0726912,0.00236188,0.0742934
22,0,0,0,0.0177527,0.000227126,0.0117358,0.0177527,0.000227126,0.0117358
23,0,0,0,-0.00681197,-0.0352502,0.0444182,-0.00681197,-0.0352502,0.0444182
24,0,0,0,0.0156871,0.0198664,0.0359272,0.0156871,0.0198664,0.0359272
25,0,0,0,0.0271439,0.0759372,0.0824143,0.0271439,0.0759372,0.0824143
26,0,0,0,-0.00656013,0.0169344,0.0219823,-0.00656013,0.0169344,0.0219823
27,0,0,0,0.000617001,-0.0258647,0.0415864,0.000617001,-0.0258647,0.0415864
28,0,0,0,0.041209,0.00653672,0.0383106,0.041209,0.00653672,0.0383106
29,0,0,0,-0.00434784,-0.0281884,0.0539444,-0.00434784,-0.0281884,0.0539444
30,0,0,0,-0.00738913,-0.0447693,0.0958267,-0.00738913,-0.0447693,0.0958267
31,0,0,0,-0.00412748,-0.0211659,0.0568734,-0.00412748,-0.0211659,0.0568734
32,0,0,0,-0.0479556,-0.0185274,0.050708,-0.0479556,-0.0185274,0.050708
33,0,0,0,-0.0197997,-0.0477194,0.0870362,-0.0197997,-0.0477194,0.0870362
34,0,0,0,0.00735802,0.0244261,0.0255269,0.00735802,0.0244261,0.0255269
35,0,0,0,-0.00954548,0.016726,0.024973,-0.00954548,0.016726,0.024973
36,0,0,0,-0.00991526,0.0361006,0.0450949,-0.00991526,0.0361006,0.0450949
37,0,0,0,0.00521365,-0.00870287,0.0104936,0.00521365,-0.00870287,0.0104936
38,0,0,0,0.0180939,0.0642163,0.0649479,0.0180939,0.0642163,0.0649479
39,0,0,0,0.0149977,-0.063896,0.0374063,0.0149977,-0.063896,0.0374063
40,0,0,0,-0.0233047,-0.0584321,0.0596199,-0.0233047,-0.0584321,0.0596199
41,0,0,0,0.0164051,0.0538262,0.0784531,0.0164051,0.0538262,0.0784531
42,0,0,0,0.0287193,-0.0183347,0.0116333,0.0287193,-0.0183347,0.0116333
43,0,0,0,-0.100308,-0.0142291,0.0560683,-0.100308,-0.0142291,0.0560683
44,0,0,0,-0.00597124,-0.0296474,0.0359336,-0.00597124,-0.0296474,0.0359336
45,0,0,0,0.0770106,-0.000281768,0.0546453,0.0770106,-0.000281768,0.0546453
46,0,0,0,-0.056624,0.0421103,0.0549725,-0.056624,0.0421103,0.0549725
47,0,0,0,0.0442457,0.00531522,0.046744,0.0442457,0.00531522,0.046744
48,0,0,0,0.035183,-0.00261634,0.0150447,0.035183,-0.00261634,0.0150447
49,0,0,0,-0.0592599,0.0249482,0.0412277,-0.0592599,0.0249482,0.0412277
50,0,0,0,-0.0321432,-0.0412356,0.0142893,-0.0321432,-0.0412356,0.0142893
51,0,0,0,0.058057,-0.00365124,0.0323002,0.058057,-0.00365124,0.0323002
52,0,0,0,0.000460589,-0.0324047,0.0195212,0.000460589,-0.0324047,0.0195212
53,0,0,0,0.000174636,0.0104797,0.0172444,0.000174636,0.0104797,0.0172444
54,0,0,0,0.00178521,0.0113932,0.0116589,0.00178521,0.0113932,0.0116589
55,0,0,0,-0.0320088,-0.0778485,0.0162985,-0.0320088,-0.0778485,0.0162985
56,0,0,0,0.028706,0.0403636,0.0460861,0.028706,0.0403636,0.0460861
57,0,0,0,-0.0161513,-0.0142114,0.0090669,-0.0161513,-0.0142114,0.0090669
58,0,0,0,-0.00336219,0.029547,0.0469224,-0.00336219,0.029547,0.0469224
59,0,0,0,0.00291625,-0.0476579,0.00279991,0.00291625,-0.0476579,0.00279991
60,0,0,0,0.0130297,0.0643352,0.056675,0.0130297,0.0643352,0.056675
61,0,0,0,0.0255721,0.0543988,0.0576361,0.0255721,0.0543988,0.0576361
62,0,0,0,0.0595723,-0.00965446,0.0326235,0.0595723,-0.00965446,0.0326235
63,0,0,0,0.0361572,0.017719,0.0272332,0.0361572,0.017719,0.0272332
64,0,0,0,0.0295554,-0.0688904,0.0250233,0.0295554,-0.0688904,0.0250233
65,0,0,0,0.000980825,0.0164025,0.018557,0.000980825,0.0164025,0.018557
66,0,0,0,0.0540456,-0.0319747,0.046095,0.0540456,-0.0319747,0.046095
67,0,0,0,0.0558944,-0.00526404,0.0268796,0.0558944,-0.00526404,0.0268796
68,0,0,0,0.0410835,-0.0505104,0.0472562,0.0410835,-0.0505104,0.0472562
69,0,0,0,-0.0127374,-0.0695817,0.00633018,-0.0127374,-0.0695817,0.00633018
70,0,0,0,-0.0043419,0.038313,0.0327423,-0.0043419,0.038313,0.0327423
71,0,0,0,0.00814852,0.00505722,0.00526275,0.00814852,0.00505722,0.00526275
72,0,0,0,-0.0610006,-0.0121092,0.0786778,-0.0610006,-0.0121092,0.0786778
73,0,0,0,0.0131558,0.013514,0.00848843,0.0131558,0.013514,0.00848843
74,0,0,0,0.00132821,-0.0280006,0.00372022,0.00132821,-0.0280006,0.00372022
75,0,0,0,-0.0459021,0.0181591,0.0818318,-0.0459021,0.0181591,0.0818318
76,0,0,0,0.00239519,-0.0365567,0.00248116,0.00239519,-0.0365567,0.00248116
77,0,0,0,-0.0349904,-0.0379819,0.00460168,-0.0349904,-0.0379819,0.00460168
78,0,0,0,0.0269951,0.0647043,0.0598489,0.0269951,0.0647043,0.0598489
79,0,0,0,0.0362458,-0.00873558,0.0353914,0.0362458,-0.00873558,0.0353914
80,0,0,0,0.04824,0.00352069,0.0382254,0.04824,0.00352069,0.0382254
81,0,0,0,0.0204788,-0.05358,0.02758,0.0204788,-0.05358,0.02758
82,0,0,0,-0.00649254,-0.00341247,0.00341485,-0.00649254,-0.00341247,0.00341485
83,0,0,0,-0.0577648,0.047476,0.10529,-0.0577648,0.047476,0.10529
84,0,0,0,0.0240144,-0.00698042,0.0397301,0.0240144,-0.00698042,0.0397301
85,0,0,0,0.00633944,-0.0578532,0.00586656,0.00633944,-0.0578532,0.00586656
86,0,0,0,0.0361535,0.00655569,0.0468892,0.0361535,0.00655569,0.0468892
87,0,0,0,-0.0415164,-0.0642156,0.00697306,-0.0415164,-0.0642156,0.00697306
88,0,0,0,0.0360344,-0.00995268,0.040191,0.0360344,-0.00995268,0.040191
89,0,0,0,-0.0796448,-0.0485844,0.0874316,-0.0796448,-0.0485844,0.0874316
90,0,0,0,-0.0316532,0.0238785,0.0840106,-0.0316532,0.0238785,0.0840106
91,0,0,0,-0.0284288,-0.0751845,0.00932619,-0.0284288,-0.0751845,0.00932619
92,0,0,0,-0.0350197,0.0473766,0.0439607,-0.0350197,0.0473766,0.0439607
93,0,0,0,0.0378629,-0.00228958,0.0325396,0.0378629,-0.00228958,0.0325396
94,0,0,0,0.0199177,-0.026687,0.00984968,0.0199177,-0.026687,0.00984968
95,0,0,0,-0.0601654,-0.0595008,0.0127436,-0.0601654,-0.0595008,0.0127436
96,0,0,0,0.0424435,0.021247,0.00946339,0.0424435,0.021247,0.00946339
97,0,0,0,-0.0383725,0.00434623,0.076965,-0.0383725,0.00434623,0.076965
98,0,0,0,0.00141098,0.0644229,0.0107239,0.00141098,0.0644229,0.0107239
99,0,0,0,0.0133876,-0.0368164,0.0507834,0.0133876,-0.0368164,0.0507834
100,0,0,0,0.00937471,0.0226997,0.00772216,0.00937471,0.0226997,0.00772216
101,0,0,0,0.0138357,0.0498744,0.00987054,0.0138357,0.0498744,0.00987054
102,0,0,0,0.00471017,0.0226975,0.0152609,0.00471017,0.0226975,0.0152609
103,0,0,0,0.0179729,-0.0210395,0.0372443,0.0179729,-0.0210395,0.0372443
104,0,0,0,-0.0846292,-0.0359585,0.0963457,-0.0846292,-0.0359585,0.0963457
105,0,0,0,-0.0214746,0.0510185,0.0648319,-0.0214746,0.0510185,0.0648319
106,0,0,0,0.0118609,-0.0069769,0.0128383,0.0118609,-0.0069769,0.0128383
107,0,0,0,0.031958,0.0437615,0.0287153,0.031958,0.0437615,0.0287153
108,0,0,0,-0.0614103,-0.0566159,0.0288873,-0.0614103,-0.0566159,0.0288873
109,0,0,0,0.0303305,0.0317433,0.0143041,0.0303305,0.0317433,0.0143041
110,0,0,0,0.00676453,0.0641359,0.0466277,0.00676453,0.0641359,0.0466277
111,0,0,0,0.0543633,0.0037097,0.036053,0.0543633,0.0037097,0.036053
112,0,0,0,-0.0251147,0.0462214,0.0794135,-0.0251147,0.0462214,0.0794135
113,0,0,0,-0.00257474,-0.0856913,0.0308988,-0.00257474,-0.0856913,0.0308988
114,0,0,0,-0.01695,-0.0315748,0.00962954,-0.01695,-0.0315748,0.00962954
115,0,0,0,0.000138372,0.019283,0.00315176,0.000138372,0.019283,0.00315176
116,0,0,0,0.0309576,0.0259728,0.00803016,0.0309576,0.0259728,0.00803016
117,0,0,0,-0.00902134,-0.0544142,0.0333965,-0.00902134,-0.0544142,0.0333965
118,0,0,0,-0.046793,-0.0617642,0.0470263,-0.046793,-0.0617642,0.0470263
119,0,0,0,0.034529,0.0655025,0.0471514,0.034529,0.0655025,0.0471514
120,0,0,0,-0.0551359,-0.0362656,0.0456481,-0.0551359,-0.0362656,0.0456481
121,0,0,0,0.058923,0.000789707,0.0160482,0.058923,0.000789707,0.0160482
122,0,0,0,0.0740237,0.0242636,0.0454407,0.0740237,0.0242636,0.0454407
123,0,0,0,0.036394,0.012119,0.0254311,0.036394,0.012119,0.0254311
124,0,0,0,-0.00542712,-0.00712481,0.00105073,-0.00542712,-0.00712481,0.00105073
125,0,0,0,-0.0963695,0.01704,0.0840397,-0.0963695,0.01704,0.0840397
126,0,0,0,0.00842489,0.0203096,0.00559713,0.00842489,0.0203096,0.00559713
127,0,0,0,-0.0525461,0.0435741,0.0574383,-0.0525461,0.0435741,0.0574383
128,0,0,0,0.0401004,0.028263,0.00868539,0.0401004,0.028263,0.00868539
129,0,0,0,-0.0401896,0.0321944,0.0635396,-0.0401896,0.0321944,0.0635396
130,0,0,0,0.0540073,-0.0332579,0.048379,0.0540073,-0.0332579,0.048379
131,0,0,0,0.0555731,-0.0505282,0.0361043,0.0555731,-0.0505282,0.0361043
132,0,0,0,-0.0261663,-0.123938,0.0185855,-0.0261663,-0.123938,0.0185855
133,0,0,0,-0.0339182,-0.0657241,0.0155842,-0.0339182,-0.0657241,0.0155842
134,0,0,0,-0.0142858,0.058945,0.028043,-0.0142858,0.058945,0.028043
