vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,0.0040037,-0.0293275,-0.0179264,0.0040037,-0.0293275,-0.0179264
1,0,0,0,0.0185562,-0.0291418,-0.00143296,0.0185562,-0.0291418,-0.00143296
2,0,0,0,-0.0100541,-0.0176888,-0.0204618,-0.0100541,-0.0176888,-0.0204618
3,0,0,0,0.00741113,-0.0117302,-0.0107187,0.00741113,-0.0117302,-0.0107187
4,0,0,0,0.0142243,-0.012947,-0.03947,0.0142243,-0.012947,-0.03947
5,0,0,0,0.0115452,-0.00923367,-0.00461676,0.0115452,-0.00923367,-0.00461676
6,0,0,0,-0.0039337,-0.00757903,-0.00446558,-0.0039337,-0.00757903,-0.00446558
7,0,0,0,0.00114014,-0.0116896,-0.00207737,0.00114014,-0.0116896,-0.00207737
8,0,0,0,0.0378665,-0.0212532,0.00418294,0.0378665,-0.0212532,0.00418294
9,0,0,0,0.0467334,-0.0579533,0.0172811,0.0467334,-0.0579533,0.0172811
10,0,0,0,-0.0233689,-0.0345541,-0.0590947,-0.0233689,-0.0345541,-0.0590947
11,0,0,0,0.0319271,-0.0122133,-0.0223705,0.0319271,-0.0122133,-0.0223705
12,0,0,0,0.0213201,-0.00899303,-0.0196787,0.0213201,-0.00899303,-0.0196787
13,0,0,0,-0.0262454,-0.0276515,-0.0331844,-0.0262454,-0.0276515,-0.0331844
14,0,0,0,-0.000128701,-0.00914016,-0.0120719,-0.000128701,-0.00914016,-0.0120719
15,0,0,0,0.000298681,-0.00732769,0.00110445,0.000298681,-0.00732769,0.00110445
16,0,0,0,-0.0120907,-0.0297786,-0.0219983,-0.0120907,-0.0297786,-0.0219983
17,0,0,0,0.0165311,-0.0112552,-0.00649077,0.0165311,-0.0112552,-0.00649077
18,0,0,0,-0.00540747,-0.0351601,-0.00858543,-0.00540747,-0.0351601,-0.00858543
19,0,0,0,0.0360364,-0.0169083,0.00241759,0.0360364,-0.0169083,0.00241759
