f,i0,i1,i2
2530,809,4342,6266
2531,3601,1081,3858
2532,1033,3530,3542
2533,1549,31,5986
2534,2154,348,4874
2535,3783,4559,5586
2536,5689,661,6194
2537,4996,6148,6149
2538,489,2486,4992
2539,2415,467,2426
2540,3096,3095,5248
2541,3588,3993,6892
2542,4616,1508,5775
2543,162,161,186
2544,186,161,227
2545,3841,1178,6501
2546,164,4018,4749
2547,2188,365,7100
2548,1333,4084,5090
2549,5724,3992,6551
2550,854,3151,5268
2551,2697,2715,2810
2552,802,2906,5984
2553,5727,1218,6528
2554,2473,6157,6709
2555,2473,6709,6936
2556,3358,956,4423
2557,5917,3833,6041
2558,2603,2595,5039
2559,669,2619,2620
2560,2878,2893,5186
2561,2720,645,2732
2562,4480,5474,6417
2563,3633,1079,3634
2564,4530,3676,5538
2565,3636,1273,4340
2566,5613,3825,5946
2567,1505,1810,2924
2568,3331,3368,4421
2569,3107,3099,5251
2570,3874,3881,6860
2571,5659,1407,5785
2572,936,3295,3313
2573,2386,459,2408
2574,5876,6352,6794
2575,3055,3056,6270
2576,2680,2620,5075
2577,5076,4695,6191
2578,2883,2884,4310
2579,224,2038,4825
2580,5816,2678,5817
2581,2317,2178,4879
2582,3534,3538,4468
2583,4540,1135,6621
2584,1479,1469,5675
2585,803,3102,5218
2586,3463,5427,5431
2587,5261,5260,6292
2588,3952,3963,5718
2589,5995,4060,6639
2590,2086,2018,4841
2591,6057,254,6661
2592,2567,1431,3268
2593,673,712,2792
2594,5324,932,5325
2595,2516,2510,5006
2596,5583,4556,6477
2597,316,2061,4822
2598,234,1863,1873
2599,3648,3670,4516
2600,1705,85,1723
2601,3567,3566,5905
2602,213,1965,1966
2603,1639,60,1673
2604,7083,2608,7093
2605,2069,2106,4851
2606,1853,6019,6648
2607,544,6172,6712
2608,544,6712,6937
2609,5660,5949,6516
2610,3568,3571,3572
2611,6028,6015,6652
2612,477,6925,7013
2613,1439,635,2718
2614,1634,1621,4674
2615,3631,3618,3632
2616,3561,3523,4474
2617,2008,4814,4816
2618,3563,3564,4476
2619,458,2422,2433
2620,3535,3554,5476
2621,509,2441,7015
2622,1614,83,1648
2623,2827,2839,5134
2624,5534,1088,6456
2625,1135,5567,5761
2626,1398,379,2210
2627,3745,4089,5567
2628,993,972,1452
2629,916,5327,6336
2630,5329,916,6336
2631,3052,3047,5223
2632,4072,5757,6569
2633,221,1904,4783
2634,1916,221,4783
2635,3097,846,3108
2636,6263,5232,7853
2637,5589,3789,6482
2638,2783,672,2847
2639,1142,3700,5126
2640,4322,2892,5153
2641,835,1415,3086
2642,4126,1584,4653
2643,7064,2630,7081
2644,1103,3642,3661
2645,2273,3959,4911
2646,1019,5435,5889
2647,325,4858,6086
2648,2096,2049,4846
2649,5132,6223,6741
2650,6979,5477,6980
2651,1279,3690,3731
2652,1819,208,4165
2653,3516,5454,5479
2654,1502,1501,7625
2655,2972,802,4348
2656,2070,2069,6072
2657,1134,4550,5935
2658,2601,2600,7096
2659,1190,4585,6907
2660,1524,1516,4622
2661,3119,844,5857
2662,4547,5576,5931
2663,3786,1427,4549
2664,1938,2767,4293
2665,1109,3694,3718
2666,33,1484,1581
2667,33,1581,1593
2668,5124,5098,6215
2669,457,2313,2314
2670,1831,1503,2354
2671,5378,3371,6361
2672,3849,733,5165
2673,1885,1880,4170
2674,1880,3956,4170
2675,1680,86,1690
2676,3040,1297,6035
2677,374,2234,2286
2678,1859,189,4742
2679,299,277,4850
2680,1905,188,1932
2681,257,2036,2054
2682,2007,2002,6661
2683,742,5142,5143
2684,2263,2305,2306
2685,831,3094,3122
2686,3462,1013,5427
2687,2681,1254,2721
2688,1812,1797,4735
2689,1091,1085,4502
2690,1085,3630,4502
2691,1785,1784,1798
2692,4218,2254,4931
2693,2780,732,2857
2694,359,2162,2568
2695,1926,230,1961
2696,597,2575,2593
2697,2296,2295,4925
2698,242,4010,4185
2699,2506,514,4254
2700,2648,2686,6209
2701,4845,311,4855
2702,4855,311,6079
2703,2231,420,2232
2704,2712,6195,6730
2705,346,4873,4876
2706,6627,6040,6653
2707,232,1935,1936
2708,232,1936,1975
2709,3924,3902,6523
2710,746,718,772
2711,772,718,1314
2712,2504,2444,4976
2713,2444,4103,4976
2714,2427,4979,6139
2715,265,4189,4816
2716,2108,2125,4203
2717,2125,2123,4203
2718,185,1882,1899
2719,1882,185,6910
2720,2034,274,2035
2721,88,1680,1691
2722,3211,3167,5276
2723,4184,260,4796
2724,4796,260,4799
2725,362,2138,4867
2726,2351,448,2352
2727,3850,5302,5634
2728,2849,708,5158
2729,782,764,799
2730,799,764,1323
2731,886,3182,3183
2732,979,3391,3392
2733,5753,4050,5957
2734,1264,342,4859
2735,3037,3053,5852
2736,1258,1467,1483
2737,2590,548,5033
2738,2644,599,5055
2739,2308,430,4228
2740,3498,4455,5444
2741,53,1603,4653
2742,3972,3054,5226
2743,4830,4192,4834
2744,1822,144,4738
2745,144,2955,4738
2746,170,187,1328
2747,3307,4409,5339
2748,170,1885,4170
2749,4523,5543,5918
2750,202,213,228
2751,213,202,1883
2752,4540,5928,6468
2753,4866,2149,7091
2754,5319,926,6333
2755,4222,2251,6090
2756,1557,845,3116
2757,1273,1327,6260
2758,144,1822,1853
2759,2792,2845,4305
2760,4345,3045,5838
2761,1333,1938,4293
2762,1903,1855,4756
2763,4453,1026,4454
2764,2676,5073,5093
2765,3635,3467,5522
2766,3597,3635,5522
2767,3973,1217,5734
2768,5734,1217,5737
2769,4896,2229,4897
2770,3879,5678,6525
2771,1959,1927,4793
2772,2809,4527,5126
2773,2038,282,4825
2774,5632,3845,6499
2775,1414,3508,5174
2776,3878,1177,5661
2777,3857,3878,5661
2778,1373,3697,3858
2779,3232,3224,6788
2780,2728,2735,7029
2781,3559,1058,3568
2782,1284,3378,4266
2783,425,412,435
2784,412,425,1419
2785,2548,5011,6160
2786,354,377,2216
2787,2666,631,2667
2788,2079,145,4728
2789,4788,1932,6047
2790,705,696,4066
2791,3552,3548,5472
2792,2524,4257,7023
2793,29,27,4640
2794,2296,6113,6114
2795,3667,4533,5924
2796,2656,5059,7063
2797,4379,3170,5279
2798,1048,4031,4095
2799,1925,239,4795
2800,4959,2407,4960
2801,1795,4605,5954
2802,6242,5825,6750
2803,68,81,1620
2804,4970,4994,6133
2805,644,2702,2707
2806,340,2201,6677
2807,1758,153,4757
2808,3634,1356,4501
2809,1059,1041,4477
2810,557,539,1284
2811,3689,1117,3701
2812,1952,1915,4815
2813,1398,407,1464
2814,4381,5284,6308
2815,4666,1611,5990
2816,389,2204,2220
2817,1768,4717,4718
2818,2379,2381,4948
2819,3045,813,5838
2820,1498,4973,4975
2821,332,285,5796
2822,2885,712,5154
2823,3120,3123,5257
2824,2460,1494,2499
2825,416,3983,4945
2826,549,548,2564
2827,5844,2979,6598
2828,604,623,2536
2829,2261,2252,4903
2830,1804,165,6024
2831,165,4746,6024
2832,3361,3369,4422
2833,2463,2434,2470
2834,2408,542,2409
2835,2332,2378,6691
2836,1413,5450,6402
2837,3920,3891,5672
2838,1586,1304,1787
2839,529,561,2550
2840,1946,220,1948
2841,1726,7698,7700
2842,2745,717,5135
2843,3111,3067,5237
2844,3503,1016,6400
2845,740,745,2904
2846,2894,2864,2909
2847,3139,3090,3140
2848,874,1257,7625
2849,820,801,1334
2850,801,820,1403
2851,3924,1217,3925
2852,1740,133,1741
2853,1741,133,1750
2854,1705,1723,4699
2855,1018,3475,5432
2856,250,1262,1985
2857,1365,250,1985
2858,4921,478,4966
2859,3588,1340,5515
2860,6202,675,6215
2861,2142,2163,2164
2862,80,1640,1641
2863,3558,1058,3559
2864,3776,1427,3786
2865,1382,1375,1700
2866,1474,1341,3897
2867,3002,5202,5203
2868,2738,2676,5093
2869,3432,983,5400
2870,2880,2942,5178
2871,145,1751,1797
2872,1751,145,2079
2873,5131,682,7590
2874,5664,3880,6039
2875,200,1903,4756
2876,4734,1834,4745
2877,4358,833,5760
2878,946,960,5345
2879,1030,4468,5464
2880,1443,3472,3496
2881,469,6124,6134
2882,1098,4519,4524
2883,2468,490,4991
2884,1130,3729,4539
2885,2003,230,2022
2886,3526,3507,6977
2887,876,3112,4368
2888,5453,5448,6115
2889,5188,4335,6888
2890,3969,3776,5584
2891,2485,541,2503
2892,4976,4103,6138
2893,1322,4754,6646
2894,3379,973,4429
2895,403,2316,4927
2896,105,1684,1707
2897,31,1550,3892
2898,5722,3924,6867
2899,3877,3922,3923
2900,1706,139,1707
2901,1559,46,1560
2902,46,1559,1576
2903,3904,6991,7048
2904,1037,4455,4459
2905,1138,1700,3996
2906,897,3231,3259
2907,2687,626,2711
2908,2711,626,2718
2909,3723,134,4032
2910,625,2687,2711
2911,345,2096,2135
2912,2682,625,2690
2913,5259,854,5268
2914,39,64,1612
2915,1612,64,1638
2916,432,2318,4231
2917,816,807,5844
2918,2948,763,2988
2919,5347,942,6332
2920,3397,3372,5378
2921,2170,350,4875
2922,712,676,6233
2923,3239,3227,5310
2924,2389,2405,6123
2925,3495,3504,6102
2926,2819,736,2839
2927,845,1312,3116
2928,2270,441,2299
2929,440,398,1336
2930,6772,852,7034
2931,884,5313,6323
2932,4277,5051,5052
2933,179,1779,1841
2934,179,1841,1913
2935,1509,4110,5776
2936,1824,376,2269
2937,125,1721,1774
2938,2331,2327,2371
2939,2116,281,2137
2940,281,2119,2137
2941,1768,176,1793
2942,2418,418,4965
2943,33,30,1484
2944,484,467,1317
2945,946,3351,5366
2946,4864,296,4865
2947,2319,437,2335
2948,4043,520,4993
2949,351,2181,4895
2950,2902,2946,4331
2951,4127,1606,4659
2952,697,2726,5082
2953,1430,892,3252
2954,1433,14,6633
2955,3306,4408,5340
2956,162,1826,4741
2957,4958,2400,6118
2958,3519,3543,6405
2959,4587,5360,5951
2960,390,369,2287
2961,1750,1453,3039
2962,4752,207,4768
2963,1591,1587,5997
2964,1934,5787,6031
2965,5699,1225,5732
2966,3217,3216,6318
2967,2428,470,2433
2968,521,1313,4993
2969,4452,1019,4461
2970,4461,1019,5889
2971,2824,731,2860
2972,1743,4698,4710
2973,275,4809,6667
2974,3678,3679,5919
2975,4061,1238,4069
2976,4748,1352,4773
2977,6355,1253,6357
2978,2932,738,5176
2979,1482,1519,6632
2980,4466,5475,6100
2981,1928,229,2010
2982,3967,3968,4595
2983,3578,3605,5907
2984,3308,3309,6345
2985,83,1614,1642
2986,4492,5904,5909
2987,1691,1710,1711
2988,385,386,4934
2989,1457,6585,6886
2990,1899,227,5789
2991,1618,69,1664
2992,69,1618,7053
2993,1276,3755,3949
2994,3546,3544,6403
2995,1413,6813,6814
2996,2768,709,4293
2997,114,4719,6013
2998,2835,2840,5132
2999,4100,5770,5773
3000,3201,4385,5295
3001,3022,3001,5214
3002,3521,4466,5892
3003,1232,1234,4045
3004,1196,1213,3975
3005,7044,1031,7071
3006,887,6309,6312
3007,3409,1002,3440
3008,5630,5643,6509
3009,1655,4683,6001
3010,5309,882,5864
3011,69,76,6901
3012,5172,2987,5198
3013,690,2792,4305
3014,2938,2940,6245
3015,3582,4486,6821
3016,4774,167,5780
3017,4040,1795,6905
3018,3738,1128,5585
3019,2132,2107,4852
3020,1801,1758,4757
3021,3433,1004,4442
3022,374,2202,2235
3023,2890,786,2936
3024,664,704,6887
3025,4851,333,6072
3026,6016,4730,6646
3027,2643,2644,5055
3028,820,1334,1481
3029,2696,636,6272
3030,5337,3305,5873
3031,627,2699,2707
3032,1875,1855,1903
3033,36,4630,5974
3034,5973,36,5974
3035,2127,2109,6079
3036,248,1318,1338
3037,2733,657,2750
3038,5353,3358,5365
3039,88,1676,1680
3040,4004,1370,5426
3041,6655,5632,6908
3042,5582,5932,6475
3043,2758,5084,6729
3044,724,2760,2827
3045,3915,1322,6646
3046,2219,389,2220
3047,950,3341,3346
3048,284,4830,4834
3049,706,2764,2786
3050,2921,2049,6674
3051,3316,3320,6791
3052,3320,5343,6791
3053,4170,3956,6044
3054,941,6332,6789
3055,298,2053,2091
3056,1224,4005,4034
3057,1224,4034,4608
3058,166,1303,1736
3059,2882,2919,7142
3060,2089,2078,4844
3061,3214,903,4389
3062,482,507,2475
3063,482,2475,4974
3064,1587,57,5997
3065,57,4679,5997
3066,596,545,2578
3067,599,596,2578
3068,3743,3754,4548
3069,4909,405,4922
3070,2790,2740,6742
3071,1878,4748,4773
3072,64,94,1647
3073,1638,64,1647
3074,567,566,2555
3075,3053,3107,4367
3076,1373,1066,1492
3077,3306,3271,5325
3078,4424,4428,6701
3079,608,3936,5763
3080,5369,5371,6150
3081,6540,5715,6556
3082,3925,3967,4593
3083,5918,5543,6893
3084,183,226,6053
3085,226,183,7076
3086,1723,113,1735
3087,5982,35,5988
3088,5988,35,6636
3089,985,974,3391
3090,1398,1824,2269
3091,1234,4052,4086
3092,1228,1246,4011
3093,1246,1228,4098
3094,3842,3822,5616
3095,48,1590,1594
3096,48,1594,3159
3097,3477,3476,6613
3098,2933,756,4093
3099,6480,3811,6494
3100,2465,4986,4987
3101,2237,2236,4900
3102,3637,3627,3645
3103,5075,2620,6190
3104,5840,807,6266
3105,324,307,2167
3106,579,2585,5021
3107,557,576,1355
3108,2794,650,2798
3109,143,174,1745
3110,3436,1003,3437
3111,17,5970,6633
3112,1827,1453,6029
3113,3954,1223,3955
3114,2082,2081,6076
3115,3015,779,3028
3116,1862,171,1865
3117,1535,25,4639
3118,2627,611,2628
3119,611,2627,2661
3120,3580,1082,3589
3121,6917,2220,7010
3122,3109,6299,6773
3123,2916,2842,4324
3124,77,87,1724
3125,1870,1871,4165
3126,4662,1622,6001
3127,306,2086,6921
3128,893,4374,5283
3129,5000,504,6159
3130,412,416,1366
3131,416,412,2282
3132,91,1650,1651
3133,1544,1543,4637
3134,5,5972,6634
3135,6629,5,6634
3136,15,4626,5968
3137,5965,15,5968
3138,2762,2713,5109
3139,5715,3961,6544
3140,1158,3793,3798
3141,98,1659,1666
3142,505,452,6527
3143,5245,3049,6284
3144,3387,5365,5384
3145,2536,2537,5012
3146,5825,4649,6951
3147,5334,3287,6340
3148,6015,1428,6652
3149,6674,288,6916
3150,456,491,1331
3151,490,2380,4947
3152,3826,3827,6510
3153,3229,3168,5277
3154,5377,5375,6145
3155,3667,3666,4514
3156,3666,3680,4514
3157,4468,1030,5463
3158,2094,2095,7746
3159,2636,2675,5070
3160,716,2852,2859
3161,2870,737,2880
3162,2276,383,4226
3163,1951,4790,6049
3164,6254,5188,6888
3165,7853,5227,7892
3166,268,215,6073
3167,215,4187,6073
3168,389,4223,4906
3169,4708,114,4714
3170,3862,1177,3876
3171,2370,452,2391
3172,3570,3566,4477
3173,1732,112,1733
3174,3183,3141,4383
3175,2876,5824,5830
3176,603,5052,6181
3177,246,1961,2004
3178,246,2004,2031
3179,7504,2881,7505
3180,1976,1332,4798
3181,2170,371,2212
3182,1286,2809,3996
3183,5352,952,5357
3184,3530,3541,3542
3185,2844,2861,6226
3186,2436,2440,4973
3187,2660,642,2661
3188,122,121,1345
3189,121,122,1709
3190,4102,5766,5772
3191,2668,629,2669
3192,7698,102,7699
3193,4309,748,7038
3194,5220,6960,7035
3195,221,1924,2011
3196,4353,5844,6278
3197,2667,631,2714
3198,82,1591,5997
3199,5994,82,5997
3200,5872,5338,6344
3201,5382,4430,6362
3202,4858,2101,6086
3203,2397,469,4954
3204,2468,515,2469
3205,228,213,1966
3206,228,1966,1969
3207,2763,672,5100
3208,3881,5667,6860
3209,236,3875,3901
3210,4674,65,5993
3211,989,3403,3407
3212,3158,4374,5853
3213,3252,929,3278
3214,2548,2536,5012
3215,3585,3573,4479
3216,3701,1117,3711
3217,1486,5328,6341
3218,3776,1162,3777
3219,5684,1447,6091
3220,1581,1592,1593
3221,1371,3625,3965
3222,1753,109,1763
3223,3932,1215,5679
3224,956,3358,5353
3225,4580,1181,4582
3226,1479,4373,5653
3227,165,239,1925
3228,239,165,1929
3229,4969,486,4988
3230,878,3160,3162
3231,3492,1035,3493
3232,1149,3741,5561
3233,4294,2796,4295
3234,4585,6654,6907
3235,2355,2368,6121
3236,3742,1136,3743
3237,1040,1324,6415
3238,710,2834,2887
3239,6204,2710,7234
3240,2153,346,6093
3241,346,4876,6093
3242,318,2120,4206
3243,841,3106,3980
3244,76,4699,5995
3245,6329,6605,6787
3246,2329,443,6120
3247,5251,852,6290
3248,431,2339,2342
3249,3396,4435,6365
3250,5392,3396,6365
3251,83,75,1662
3252,3170,4379,5856
3253,232,173,1864
3254,6805,6382,6974
3255,5122,750,6212
3256,3756,3753,5575
3257,152,4750,6025
3258,1660,1630,1683
3259,889,3215,5293
3260,153,1758,4707
3261,4136,73,7698
3262,1034,3540,3548
3263,5316,3253,5869
3264,422,2252,2261
3265,276,4804,6054
3266,276,6054,6660
3267,134,109,4692
3268,4692,109,4694
3269,1770,1761,4714
3270,4713,123,4721
3271,4721,123,4733
3272,5199,792,6600
3273,5468,1044,6405
3274,695,5144,5160
3275,695,5160,6229
3276,1702,1708,4139
3277,760,1432,3917
3278,3917,1432,4588
3279,1226,3995,4029
3280,655,2763,5100
3281,1089,3637,3645
3282,5410,3446,5419
3283,2989,3004,4343
3284,667,6200,6734
3285,2185,305,4869
3286,1668,121,1709
3287,2213,411,2230
3288,2903,1616,4132
3289,5460,3536,5899
3290,1513,1512,5962
3291,2185,379,4883
3292,858,6961,7037
3293,3887,1442,6037
3294,2029,294,4819
3295,5915,3631,6619
3296,2492,2506,4254
3297,1858,1827,4758
3298,2683,2688,2698
3299,3595,1071,4488
3300,508,2443,4966
3301,1184,3873,3895
3302,4407,5337,5873
3303,3087,853,4104
3304,2095,265,7746
3305,1354,2457,2458
3306,4247,2436,4973
3307,87,77,1626
3308,1107,1092,1337
3309,2952,749,3939
3310,2595,2603,5034
3311,4017,4067,4610
3312,728,2814,5163
3313,4089,3745,5759
3314,1153,1156,3805
3315,1516,13,1527
3316,3416,975,5399
3317,3368,3373,5379
3318,5289,6778,6964
3319,6797,3412,6972
3320,1782,1801,1811
3321,4569,3802,6854
3322,3056,3055,6757
3323,3771,5570,6486
3324,638,2709,7065
3325,161,162,1503
3326,2720,2732,4286
3327,5574,4546,6847
3328,284,4834,6075
3329,1403,828,3028
3330,1001,3456,3457
3331,3068,5256,5851
3332,2511,2512,6704
3333,621,1254,2681
3334,2561,601,2563
3335,3023,827,3024
3336,1292,434,2272
3337,1939,1931,6045
3338,1477,3211,3850
3339,3792,5592,5614
3340,2323,2356,2357
3341,879,4398,6322
3342,444,448,2351
3343,425,435,2339
3344,1728,1727,4142
3345,1730,132,1731
3346,3395,975,4435
3347,1367,1425,2719
3348,3802,3803,5600
3349,304,300,5794
3350,3817,3816,4575
3351,1917,255,1918
3352,1390,2903,4684
3353,6986,5663,7047
3354,179,1900,4772
3355,3054,3048,4349
3356,4360,3071,5847
3357,1752,126,4712
3358,497,554,5023
3359,35,1571,6636
3360,855,856,3136
3361,1845,196,1891
3362,4543,3742,5568
3363,5053,6182,7062
3364,6182,6716,7062
3365,3676,5530,5538
3366,694,651,2721
3367,81,113,1493
3368,123,4146,4148
3369,997,3428,3437
3370,2021,225,4807
3371,3715,4533,5532
3372,4128,1624,4668
3373,1206,1198,5698
3374,579,593,5013
3375,2343,475,4940
3376,822,3064,3065
3377,2214,2159,6106
3378,5597,6066,6485
3379,3255,3254,6326
3380,3356,955,3366
3381,1134,5556,6467
3382,1134,6467,6844
3383,3782,1150,4552
3384,79,66,1426
3385,5399,975,5880
3386,3779,3763,4558
3387,987,3381,3404
3388,780,2937,2939
3389,3521,5892,6418
3390,1135,5555,5929
3391,5938,1121,5942
3392,1121,5938,6623
3393,2377,6126,7014
3394,3411,3401,5396
3395,2036,1999,2037
3396,438,7754,7755
3397,819,3013,5222
3398,3089,3077,4364
3399,1600,1617,4665
3400,6406,3525,7098
3401,319,354,2125
3402,2124,319,2125
3403,726,7142,7143
3404,158,1345,4729
3405,4803,1956,6053
3406,2321,492,2347
3407,2528,2583,5046
3408,2798,5122,6212
3409,1309,2329,4059
3410,599,4269,5055
3411,3018,1321,5359
3412,653,618,2682
3413,1849,1428,3775
3414,2937,759,2938
3415,1332,212,1914
3416,1731,132,1739
3417,1546,29,1548
3418,3263,913,4068
3419,1427,1151,3774
3420,6699,552,6930
3421,1140,1154,4569
3422,3989,3944,6870
3423,2606,592,7025
3424,328,6079,6912
3425,317,316,1291
3426,316,317,2061
3427,837,4381,6308
3428,3728,3734,4539
3429,1039,1020,3489
3430,1020,1039,3506
3431,125,1774,1839
3432,476,2442,3966
3433,216,1875,1903
3434,3800,3803,4568
3435,1017,6386,6806
3436,2391,505,2427
3437,222,1836,1925
3438,3371,3390,5385
3439,2868,4309,5150
3440,444,4023,4944
3441,1393,743,2963
3442,743,2926,2963
3443,2029,306,4860
3444,483,2344,2345
3445,1887,1888,4778
3446,2367,453,2383
3447,2383,453,3927
3448,1759,110,7704
3449,654,2701,6178
3450,58,4123,4671
3451,2362,401,4950
3452,401,4234,4950
3453,6548,4007,6877
3454,5667,3885,6860
3455,2257,404,4906
3456,1983,1982,4802
3457,2164,352,2187
3458,5614,1143,5617
3459,6386,6385,6806
3460,2520,570,4252
3461,1437,453,2366
3462,2366,453,2367
3463,4339,5197,5837
3464,4750,1453,6026
3465,3101,862,3129
3466,1715,129,4696
3467,567,5015,6161
3468,5864,882,6322
3469,1776,130,4723
3470,5575,3753,6672
3471,1608,62,1609
3472,506,2487,4613
3473,1352,1838,4018
3474,4404,953,5356
3475,2167,2200,4210
3476,1530,16,4633
3477,5149,797,6237
3478,3759,1155,6476
3479,3346,955,3356
3480,1638,74,5996
3481,2886,724,4076
3482,3745,3720,6570
3483,2106,4196,4850
3484,4546,1155,6985
3485,1424,2625,2641
3486,450,2411,2424
3487,4275,2636,5070
3488,990,3412,4430
3489,2629,2635,4273
3490,2776,862,3184
3491,3030,3058,4354
3492,3752,5932,6084
3493,5032,7760,7761
3494,2879,2906,5162
3495,5205,3003,6262
3496,3132,5251,6290
3497,134,138,4605
3498,188,1883,4774
3499,904,3222,4399
3500,2212,411,2213
3501,3190,3137,5261
3502,2578,545,5028
3503,4110,0,5961
3504,960,4046,4077
3505,1758,120,4700
3506,3370,3374,5376
3507,954,969,6368
3508,1408,500,2485
3509,6868,5696,6869
3510,449,1384,2310
3511,2293,449,2310
3512,1783,151,4725
3513,6533,3943,6870
3514,5476,3541,6419
3515,3208,5301,6319
3516,353,2150,4212
3517,2175,327,4879
3518,804,3032,3050
3519,3046,804,3050
3520,181,234,1889
3521,56,1589,1597
3522,983,3432,5409
3523,4016,1220,4019
3524,4672,5982,5988
3525,3848,1184,3896
3526,3906,1180,3912
3527,341,5799,6104
3528,341,6104,6105
3529,3711,1127,3725
3530,2318,427,2337
3531,3817,4575,5612
3532,5914,3687,5922
3533,4643,1555,5980
3534,1601,1613,4129
3535,477,6689,6925
3536,5814,4280,7050
3537,4451,3485,5435
3538,2234,2285,2286
3539,5076,6191,6726
3540,397,4935,6112
3541,4102,1228,5766
3542,1228,4600,5766
3543,1213,1196,3948
3544,2928,2830,2943
3545,4649,5836,5983
3546,3761,4552,5578
3547,2765,2738,5110
3548,3251,917,5323
3549,727,2801,2879
3550,1187,1195,5725
3551,2192,2222,2223
3552,3815,1335,5609
3553,3824,3815,5609
3554,4555,6470,6850
3555,3271,3270,5324
3556,6299,5267,7037
3557,114,1770,4714
3558,3042,825,4366
3559,825,3075,4366
3560,5591,1143,5614
3561,2758,2701,5084
3562,1351,1850,2205
3563,2890,2859,5155
3564,439,2390,4243
3565,1041,5467,6412
3566,2553,2546,6950
3567,2455,460,4984
3568,1111,3681,3682
3569,1111,3682,3714
3570,615,2642,6586
3571,4125,37,6593
3572,2258,415,2259
3573,4956,2397,6127
3574,2044,2076,5794
3575,2025,2023,6064
3576,3310,3311,5342
3577,3053,827,3107
3578,4842,296,4843
3579,4843,296,4852
3580,2987,2986,4338
3581,1854,1860,4760
3582,2706,2705,5085
3583,266,1930,1931
3584,3498,1024,5443
3585,488,2437,4959
3586,968,3355,3940
3587,540,556,1357
3588,556,540,6930
3589,3129,2776,3850
3590,718,746,4316
3591,555,623,6190
3592,1780,160,1781
3593,906,3258,4399
3594,469,2397,4964
3595,469,4964,6124
3596,3047,5220,5223
3597,2997,3007,3010
3598,637,2686,4285
3599,2368,2355,2385
3600,2780,2857,4308
3601,2260,2261,4883
3602,448,476,499
3603,499,476,2459
3604,6138,530,6695
3605,530,6694,6695
3606,6863,1179,6989
3607,2965,2964,5187
3608,3758,1275,6853
3609,1161,4564,5603
3610,675,4291,6590
3611,1879,1456,3913
3612,4416,3342,5359
3613,3276,3298,4405
3614,3166,888,6968
3615,1741,1750,6643
3616,744,2912,6529
3617,966,1321,3018
3618,5036,573,5812
3619,3954,5709,6874
3620,818,3095,3096
3621,3095,818,3098
3622,1023,4460,5890
3623,5445,1023,5890
3624,2539,2543,5015
3625,20,30,1444
3626,971,5399,5880
3627,2390,473,2407
3628,2069,2070,4835
3629,1176,1159,5615
3630,1159,4035,5615
3631,1111,3714,3715
3632,1083,4498,5519
3633,761,708,2851
3634,708,2848,2851
3635,3460,1000,3479
3636,3479,1000,3486
3637,919,938,1429
3638,938,919,3277
3639,1032,4467,5476
3640,3575,5479,7088
3641,642,611,2661
3642,885,1305,3197
3643,234,181,1863
3644,3318,3306,5325
3645,1146,3766,3767
3646,52,1582,4651
3647,1600,52,4651
3648,533,542,2439
3649,542,2408,2439
3650,3106,836,3974
3651,2169,7007,7091
3652,5039,583,5054
3653,2801,2878,2879
3654,2767,617,2768
3655,1224,4608,4611
3656,506,2481,2487
3657,1073,3537,3564
3658,111,1709,1720
3659,5011,526,5804
3660,1146,3747,3766
3661,3625,1094,4009
3662,2129,4844,4861
3663,428,2214,2252
3664,494,1268,2419
3665,1678,1684,1685
3666,1080,3652,3664
3667,3000,6276,6759
3668,2545,555,2562
3669,2841,734,2859
3670,3596,3595,6431
3671,3230,914,3231
3672,2131,4863,6078
3673,1948,233,1981
3674,3406,4109,6366
3675,2353,1366,4023
3676,2861,2833,5147
3677,2533,571,6708
3678,1656,97,1657
3679,1538,21,4115
3680,2244,2258,4908
3681,5370,5356,6351
3682,5375,5370,6351
3683,2938,759,2940
3684,2174,370,2183
3685,376,1824,2210
3686,2196,376,2210
3687,411,2253,6924
3688,1133,1275,5562
3689,3348,3392,4432
3690,303,289,315
3691,584,2591,2609
3692,584,2609,2637
3693,3227,3239,6312
3694,2902,746,2946
3695,528,2559,2560
3696,5137,6221,6225
3697,5582,6475,6476
3698,692,2854,2855
3699,958,4409,5879
3700,5893,4465,6822
3701,4077,1283,5881
3702,471,2401,4238
3703,2587,2532,5031
3704,3038,2665,4278
3705,2665,4277,4278
3706,1359,1348,3038
3707,3083,1287,4088
3708,1694,95,4689
3709,3243,918,7775
3710,3764,5581,6481
3711,842,3105,3994
3712,5233,5221,6273
3713,6115,5448,6400
3714,941,3302,3327
3715,957,968,5361
3716,7082,610,7095
3717,610,7084,7095
3718,5401,6364,6801
3719,5497,3595,6434
3720,3382,3410,5395
3721,3410,3390,5395
3722,327,318,2148
3723,2449,2448,4248
3724,2448,2484,4248
3725,2196,4214,4869
3726,3481,1018,5432
3727,1555,25,1566
3728,7066,7082,7083
3729,4597,580,4990
3730,891,3221,4395
3731,1436,2243,4000
3732,4032,134,4605
3733,3282,3283,6193
3734,6069,3801,6665
3735,1613,1617,1618
3736,1844,1766,1845
3737,628,603,2644
3738,4428,5390,6798
3739,1439,2718,5078
3740,2372,455,7015
3741,1777,4723,4749
3742,541,558,2503
3743,1282,159,1825
3744,1867,192,6573
3745,5949,3658,6517
3746,347,312,1380
3747,3773,3758,6853
3748,3792,3791,5592
3749,495,2449,2495
3750,2461,495,2495
3751,1293,1292,2360
3752,5597,3801,6663
