vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,0.00295744,-0.0122116,0.0351769,0.00295744,-0.0122116,0.0351769
1,0,0,0,0.00047151,0.0125077,0.0380989,0.00047151,0.0125077,0.0380989
2,0,0,0,0.000767484,-0.0238583,0.0190092,0.000767484,-0.0238583,0.0190092
3,0,0,0,0.00755617,-0.00282792,0.016016,0.00755617,-0.00282792,0.016016
4,0,0,0,0.0316489,-0.0183259,0.0272961,0.0316489,-0.0183259,0.0272961
5,0,0,0,0.00718265,0.00495948,0.0137874,0.00718265,0.00495948,0.0137874
6,0,0,0,-0.00322142,-0.00863087,0.00861896,-0.00322142,-0.00863087,0.00861896
7,0,0,0,-0.00368578,-0.00175373,0.0156118,-0.00368578,-0.00175373,0.0156118
8,0,0,0,0.0130165,0.0320671,0.0330787,0.0130165,0.0320671,0.0330787
9,0,0,0,-0.010697,0.0545176,0.0824899,-0.010697,0.0545176,0.0824899
10,0,0,0,0.0119324,-0.0616394,0.039692,0.0119324,-0.0616394,0.039692
11,0,0,0,0.0318389,0.00694581,0.0284911,0.0318389,0.00694581,0.0284911
12,0,0,0,0.0240236,0.00132371,0.0204775,0.0240236,0.00132371,0.0204775
13,0,0,0,-0.00541609,-0.0484245,0.0276857,-0.00541609,-0.0484245,0.0276857
14,0,0,0,0.00487667,-0.00925557,0.0112336,0.00487667,-0.00925557,0.0112336
15,0,0,0,-0.00835595,0.0017105,0.0143707,-0.00835595,0.0017105,0.0143707
16,0,0,0,-0.00781346,-0.0379288,0.0413764,-0.00781346,-0.0379288,0.0413764
17,0,0,0,0.0107117,0.00710107,0.0174639,0.0107117,0.00710107,0.0174639
18,0,0,0,-0.0166857,-0.0167442,0.0445633,-0.0166857,-0.0167442,0.0445633
19,0,0,0,0.0149934,0.0292583,0.0284862,0.0149934,0.0292583,0.0284862
20,0,0,0,-0.00460656,-0.0475676,0.058668,-0.00460656,-0.0475676,0.058668
21,0,0,0,0.0815034,0.0173628,0.0710438,0.0815034,0.0173628,0.0710438
22,0,0,0,0.0186806,0.00349324,0.010519,0.0186806,0.00349324,0.010519
23,0,0,0,0.00610866,-0.0378573,0.0420989,0.00610866,-0.0378573,0.0420989
24,0,0,0,0.0144233,0.0218364,0.0373233,0.0144233,0.0218364,0.0373233
25,0,0,0,0.0167241,0.0782828,0.0864056,0.0167241,0.0782828,0.0864056
26,0,0,0,-0.00860617,0.0133197,0.0239534,-0.00860617,0.0133197,0.0239534
27,0,0,0,0.00973156,-0.0245078,0.0360635,0.00973156,-0.0245078,0.0360635
28,0,0,0,0.0442124,0.0149285,0.0366783,0.0442124,0.0149285,0.0366783
29,0,0,0,0.00769535,-0.0301698,0.0501965,0.00769535,-0.0301698,0.0501965
30,0,0,0,0.0130368,-0.0485698,0.0908847,0.0130368,-0.0485698,0.0908847
31,0,0,0,0.00621766,-0.0224806,0.0508065,0.00621766,-0.0224806,0.0508065
32,0,0,0,-0.0353363,-0.0312102,0.0519309,-0.0353363,-0.0312102,0.0519309
33,0,0,0,0.00148659,-0.0530293,0.0824676,0.00148659,-0.0530293,0.0824676
34,0,0,0,0.00358534,0.0240979,0.0267493,0.00358534,0.0240979,0.0267493
35,0,0,0,-0.0109827,0.0120648,0.0268635,-0.0109827,0.0120648,0.0268635
36,0,0,0,-0.014259,0.0308222,0.0494481,-0.014259,0.0308222,0.0494481
37,0,0,0,0.00761441,-0.00813454,0.00920585,0.00761441,-0.00813454,0.00920585
38,0,0,0,0.00850861,0.0630265,0.066747,0.00850861,0.0630265,0.066747
39,0,0,0,0.0288255,-0.0516095,0.0276392,0.0288255,-0.0516095,0.0276392
40,0,0,0,-0.00216184,-0.0593104,0.0528512,-0.00216184,-0.0593104,0.0528512
41,0,0,0,0.0109113,0.0524949,0.0801425,0.0109113,0.0524949,0.0801425
42,0,0,0,0.0325683,-0.0117265,0.00762861,0.0325683,-0.0117265,0.00762861
