vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.0278585,0.00932083,0.0115143,-0.0278585,0.00932083,0.0115143
1,0,0,0,-0.0147429,0.0197719,0.0244268,-0.0147429,0.0197719,0.0244268
2,0,0,0,-0.0255801,0.00113397,-0.00264765,-0.0255801,0.00113397,-0.00264765
3,0,0,0,-0.0123054,0.00136974,0.00931142,-0.0123054,0.00136974,0.00931142
4,0,0,0,-0.0292536,-0.0141472,0.019051,-0.0292536,-0.0141472,0.019051
5,0,0,0,-0.00665929,0.00303995,0.0125008,-0.00665929,0.00303995,0.0125008
6,0,0,0,-0.0103936,0.00369557,-0.00205428,-0.0103936,0.00369557,-0.00205428
7,0,0,0,-0.010185,0.00854774,0.00399465,-0.010185,0.00854774,0.00399465
8,0,0,0,-0.000623506,0.0153449,0.0394176,-0.000623506,0.0153449,0.0394176
9,0,0,0,-0.0117858,0.0580333,0.0621037,-0.0117858,0.0580333,0.0621037
10,0,0,0,-0.0591106,-0.00851398,-0.00505131,-0.0591106,-0.00851398,-0.00505131
11,0,0,0,-0.0151912,-0.00770818,0.0329968,-0.0151912,-0.00770818,0.0329968
12,0,0,0,-0.0133695,-0.00652286,0.0213444,-0.0133695,-0.00652286,0.0213444
13,0,0,0,-0.0431599,0.00149595,-0.0125755,-0.0431599,0.00149595,-0.0125755
14,0,0,0,-0.0130124,-0.000561275,0.00254724,-0.0130124,-0.000561275,0.00254724
15,0,0,0,-0.00689604,0.0116436,0.00278636,-0.00689604,0.0116436,0.00278636
16,0,0,0,-0.0418903,0.0108239,-0.00276302,-0.0418903,0.0108239,-0.00276302
17,0,0,0,-0.0068525,0.00268601,0.0153419,-0.0068525,0.00268601,0.0153419
18,0,0,0,-0.0304193,0.0220794,0.00442343,-0.0304193,0.0220794,0.00442343
19,0,0,0,0.000157241,0.0112955,0.0372615,0.000157241,0.0112955,0.0372615
20,0,0,0,-0.0572521,0.0128273,0.00281112,-0.0572521,0.0128273,0.00281112
